ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
HPG,2016-07-18,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-03-27,4.0,4.0,5.0,4.0,4.0,4.0,15.0,5.47,2.74,51.1,43.0,53.2,64.2,33.4,-0.0104,1.28,4.21,0.99,36.63,4.86,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPG,2016-07-25,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-08-22,4.0,4.0,5.0,4.0,4.0,4.0,10.0,5.0,2.0,68.6,42.0,71.0,54.9,26.8,-0.0262,0.86,-2.55,0.99,34.32,0.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HPG,2016-08-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2016-11-09,5.0,5.0,6.0,5.0,5.0,5.0,15.0,4.74,3.16,63.5,35.0,68.0,75.0,29.1,0.0351,1.05,8.97,0.99,34.66,10.81,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HPG,2016-10-03,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-10-31,5.0,5.0,6.0,5.0,5.0,5.0,10.0,4.03,2.48,74.0,60.0,71.0,53.2,40.0,-0.0287,1.65,2.28,0.99,26.58,-0.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HPG,2017-02-07,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-10-17,5.0,5.0,6.0,5.0,5.0,5.0,18.0,3.18,5.66,60.2,46.0,61.4,66.2,20.5,0.0194,3.03,9.58,0.99,20.4,2.88,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HPG,2017-04-18,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-05-16,5.0,5.0,6.0,5.0,5.0,5.0,10.0,3.93,2.54,69.8,46.0,71.0,51.5,28.7,-0.0205,1.25,-1.99,0.99,25.91,-0.88,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HPG,2017-04-19,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-12-27,6.0,6.0,6.0,5.0,5.0,6.0,15.0,3.88,3.87,50.0,39.0,53.2,57.5,27.3,-0.0222,0.98,3.26,0.99,26.58,1.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPG,2017-05-22,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2017-06-19,5.0,5.0,6.0,5.0,5.0,5.0,10.0,3.4,2.94,62.1,37.0,66.0,42.5,20.4,-0.0191,0.65,2.25,0.99,20.71,-1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPG,2017-06-29,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-09-21,6.0,6.0,7.0,6.0,6.0,6.0,15.0,3.13,4.79,65.6,42.0,68.0,68.3,39.1,0.0057,0.94,1.6,0.99,20.63,4.16,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HPG,2017-07-18,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-15,6.0,6.0,7.0,6.0,6.0,6.0,10.0,4.23,2.37,71.0,50.0,71.0,53.1,47.0,-0.0233,1.72,-4.9,0.99,24.07,-1.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0
