ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
HSG,2016-07-14,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-03-23,12.36,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,53.1,37.3,-0.057,1.58,-4.36,0.99,9.21,CAO,51.33,-0.81,0,0,0,0,0,0,0,1,0
HSG,2016-07-18,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-03-27,13.0,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,59.3,33.0,-0.1002,0.76,5.91,0.99,9.87,CAO,54.98,3.67,0,0,0,0,0,0,0,1,0
HSG,2016-07-19,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-03-28,12.74,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,56.0,31.5,-0.1073,1.02,-2.45,0.99,9.67,CAO,53.87,1.37,0,0,0,0,0,0,0,1,0
HSG,2016-07-28,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2017-04-06,11.64,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,47.7,23.8,-0.2224,0.82,2.31,0.99,10.15,CAO,56.54,-5.26,0,0,0,0,0,0,0,0,1
HSG,2016-07-29,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2017-04-07,11.46,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,45.9,22.4,-0.1901,0.53,5.01,0.99,9.9,CAO,55.15,-6.62,0,0,0,0,0,0,0,0,1
HSG,2016-12-02,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-08-11,14.43,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,77.1,26.9,0.0952,0.71,5.21,0.973,5.88,TRUNG BÌNH,32.75,11.05,0,0,0,0,0,0,0,1,0
HSG,2016-12-05,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-08-14,14.17,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,70.1,28.1,0.0734,0.73,5.45,0.986,5.84,TRUNG BÌNH,32.52,8.06,0,0,0,0,0,0,0,1,0
HSG,2016-12-23,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-01,14.92,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,70.9,26.1,0.074,0.62,-4.32,0.99,6.59,TRUNG BÌNH,36.74,6.65,0,0,0,0,0,0,0,1,0
HSG,2016-12-26,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-01-09,15.07,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,72.5,27.9,0.0782,1.29,5.93,0.99,6.43,TRUNG BÌNH,35.83,7.03,0,0,0,1,0,0,0,1,0
HSG,2016-12-27,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-05,14.63,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,62.1,28.1,0.0447,1.17,-0.21,0.99,6.56,TRUNG BÌNH,36.55,3.44,0,0,0,0,0,0,0,1,0
HSG,2016-12-28,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-06,15.01,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,66.5,28.3,0.0416,0.64,-0.16,0.99,6.61,TRUNG BÌNH,36.85,5.85,0,0,0,0,0,0,0,1,0
HSG,2016-12-30,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-08,14.81,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,61.8,28.3,0.0104,0.83,-3.42,0.99,6.31,TRUNG BÌNH,35.15,4.06,0,0,0,0,0,0,0,1,0
HSG,2017-01-03,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-12,14.92,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,63.2,27.9,-0.003,0.31,-5.94,0.99,6.14,TRUNG BÌNH,34.2,4.77,0,0,0,0,0,0,0,1,0
HSG,2017-01-04,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-13,14.98,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,64.0,27.6,-0.0116,0.57,4.97,0.99,5.96,TRUNG BÌNH,33.2,4.49,0,0,0,0,0,0,0,1,0
HSG,2017-01-05,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-01-19,15.51,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,70.2,28.3,0.0132,1.54,3.54,0.99,6.28,TRUNG BÌNH,35.0,7.1,0,0,0,1,0,0,0,1,0
HSG,2017-01-06,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-15,14.81,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,56.5,27.7,-0.0209,1.98,-1.02,0.99,6.86,TRUNG BÌNH,38.21,1.69,0,0,0,0,0,0,0,1,0
HSG,2017-01-09,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-18,14.75,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,55.5,27.0,-0.0492,0.98,-2.1,0.99,6.65,TRUNG BÌNH,37.07,0.97,0,0,0,0,0,0,0,1,0
HSG,2017-01-10,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-19,14.84,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,56.7,26.3,-0.0627,0.87,4.45,0.99,6.47,TRUNG BÌNH,36.02,1.17,0,0,0,0,0,0,0,1,0
HSG,2017-01-11,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-09-20,15.07,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,59.8,25.2,-0.0572,0.64,5.81,0.99,6.36,TRUNG BÌNH,35.44,2.29,0,0,0,0,0,0,0,1,0
HSG,2017-02-02,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2017-10-12,14.3,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,48.6,20.3,-0.0831,0.64,2.05,0.99,5.66,TRUNG BÌNH,31.56,-2.89,0,0,0,0,0,0,0,0,1
HSG,2017-04-10,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-04-24,15.43,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,72.2,27.4,0.144,1.19,5.7,0.99,4.35,TRUNG BÌNH,24.22,6.51,0,0,0,1,0,0,0,1,0
HSG,2017-04-11,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-19,15.28,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,67.4,28.9,0.1267,1.09,0.48,0.99,4.27,TRUNG BÌNH,23.78,4.95,0,0,0,0,0,0,0,1,0
