ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
KDH,2016-08-10,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-04-19,6.0,6.0,8.0,6.0,6.0,7.0,18.0,2.66,6.77,57.8,38.0,61.4,78.5,16.5,0.0364,4.34,5.02,0.941,24.46,6.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KDH,2016-09-05,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-05-15,7.0,7.0,8.0,7.0,7.0,7.0,15.0,3.04,4.93,50.8,42.0,53.2,66.8,41.9,-0.0303,0.31,1.42,0.938,23.09,0.63,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KDH,2016-09-08,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2016-12-01,7.0,7.0,8.0,7.0,7.0,7.0,15.0,2.83,5.31,64.7,39.0,68.0,72.2,42.4,-0.0171,0.28,2.9,0.942,22.14,1.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KDH,2016-10-18,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-11-15,7.0,7.0,8.0,7.0,7.0,7.0,10.0,2.2,4.54,70.1,47.0,71.0,63.2,53.6,-0.0244,0.78,4.55,0.99,13.63,0.69,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KDH,2016-10-24,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2016-11-21,7.0,7.0,8.0,7.0,7.0,7.0,10.0,2.77,3.61,67.5,55.0,66.0,52.8,41.2,-0.0421,0.4,2.89,0.99,14.88,-0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KDH,2017-03-07,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-05-30,8.0,8.0,9.0,8.0,8.0,8.0,15.0,3.77,3.98,64.7,39.0,68.0,85.3,47.0,0.065,0.49,5.14,0.953,25.65,9.19,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KDH,2017-03-15,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-11-22,8.0,8.0,9.0,8.0,8.0,8.0,15.0,3.36,4.47,50.0,39.0,53.2,74.6,51.1,-0.0068,1.47,2.05,0.99,22.16,3.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KDH,2017-05-08,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-05-15,10.0,10.0,10.0,9.0,9.0,10.0,5.0,3.0,1.67,56.4,44.0,58.2,79.9,48.3,0.0254,2.89,-0.37,0.99,33.06,7.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KDH,2017-06-06,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-29,10.0,10.0,11.0,10.0,10.0,10.0,15.0,4.01,3.74,67.1,47.0,68.0,67.5,46.8,0.0136,0.28,2.02,0.989,26.35,3.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KDH,2017-06-16,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-07-14,10.0,10.0,11.0,9.0,10.0,10.0,10.0,3.43,2.92,70.1,47.0,71.0,54.8,38.7,-0.0481,0.42,-3.81,0.99,22.56,0.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KDH,2017-07-12,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2018-03-21,10.0,10.0,12.0,10.0,10.0,10.0,18.0,2.47,7.29,67.5,57.0,61.4,72.0,34.0,0.0171,4.4,-1.22,0.99,20.51,3.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0
