ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
KOS,2018-12-05,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-01-02,18.0,18.0,20.0,17.0,17.0,18.0,10.0,5.0,2.0,67.1,37.0,71.0,56.9,41.7,-0.0841,1.16,-3.26,0.972,43.16,-0.13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KOS,2019-01-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-02-18,18.0,18.0,19.0,17.0,17.0,18.0,10.0,5.0,2.0,69.8,46.0,71.0,51.4,34.5,-0.009,0.85,1.02,0.915,23.44,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KOS,2019-07-10,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-03-18,18.0,18.0,21.0,17.0,18.0,18.0,18.0,3.42,5.26,58.4,40.0,61.4,72.1,24.7,0.079,3.2,7.04,0.982,28.39,6.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KOS,2019-08-01,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2019-10-24,19.0,19.0,22.0,18.0,19.0,19.0,15.0,6.0,2.5,65.6,42.0,68.0,57.8,40.1,0.0058,0.96,1.51,0.99,47.43,0.46,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KOS,2019-08-08,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2020-04-16,19.0,19.0,22.0,18.0,19.0,19.0,15.0,4.71,3.18,52.3,47.0,53.2,59.9,37.7,-0.085,0.9,4.6,0.99,40.8,0.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KOS,2019-09-06,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-10-04,19.0,19.0,21.0,19.0,19.0,19.0,10.0,2.26,4.43,63.6,42.0,66.0,53.4,25.3,-0.0628,0.55,1.84,0.99,22.97,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KOS,2020-01-22,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-04-15,21.0,21.0,24.0,20.0,21.0,22.0,15.0,4.27,3.51,64.4,38.0,68.0,63.6,30.5,0.0583,0.41,-0.34,0.956,19.13,3.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KOS,2021-01-20,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-02-17,24.0,24.0,27.0,23.0,24.0,24.0,10.0,5.0,2.0,70.4,48.0,71.0,53.6,33.0,-0.0564,0.76,-1.08,0.922,36.18,0.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KOS,2021-01-27,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-04-21,24.0,24.0,28.0,23.0,24.0,25.0,15.0,4.62,3.24,64.4,38.0,68.0,56.2,34.6,-0.0681,0.63,-0.18,0.905,31.29,0.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KOS,2021-03-25,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2021-04-22,24.0,24.0,26.0,23.0,24.0,24.0,10.0,2.45,4.08,62.7,39.0,66.0,34.4,16.3,-0.0726,0.73,3.45,0.87,13.42,-1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1
