ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
LPB,2018-10-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-11-07,3.0,3.0,4.0,3.0,3.0,3.0,10.0,5.0,2.0,69.8,46.0,71.0,50.7,30.5,-0.003,0.72,-2.55,0.99,33.09,-0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LPB,2018-10-12,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-06-21,3.0,3.0,4.0,3.0,3.0,3.0,15.0,6.0,2.5,50.0,37.0,53.2,43.9,30.2,-0.0344,0.78,-10.19,0.99,42.45,-4.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LPB,2019-11-12,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-07-21,3.0,3.0,3.0,3.0,3.0,3.0,18.0,6.0,3.0,62.0,52.0,61.4,70.9,58.0,0.017,3.1,3.74,0.99,29.27,5.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LPB,2019-11-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-12-19,3.0,3.0,3.0,3.0,3.0,3.0,10.0,5.0,2.0,71.0,50.0,71.0,51.1,61.0,0.0039,0.33,-0.3,0.99,26.63,-0.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LPB,2020-06-02,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2021-02-09,3.0,3.0,4.0,3.0,3.0,3.0,18.0,6.0,3.0,67.5,57.0,61.4,79.3,34.0,0.0246,4.52,1.1,0.99,52.29,11.03,0,0,0,0,0,1,1,0,0,0,0,0,0,0
LPB,2020-09-17,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2020-09-24,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,1.67,54.3,37.0,58.2,73.9,22.0,0.0311,2.05,5.58,0.99,38.92,7.69,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LPB,2020-09-22,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-12-15,4.0,4.0,5.0,4.0,4.0,4.0,15.0,6.0,2.5,66.5,45.0,68.0,77.9,29.8,0.0561,2.21,4.22,0.99,40.12,9.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LPB,2020-10-09,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-06-18,5.0,5.0,5.0,4.0,5.0,5.0,15.0,5.96,2.52,50.8,42.0,53.2,69.8,48.9,-0.0033,0.45,-0.61,0.99,37.75,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LPB,2020-11-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-12-08,5.0,5.0,5.0,4.0,5.0,5.0,10.0,5.0,2.0,68.0,40.0,71.0,55.5,49.0,-0.0336,0.98,-0.89,0.99,35.06,-1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LPB,2020-12-08,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-03-02,5.0,5.0,6.0,5.0,5.0,5.0,15.0,4.43,3.39,65.6,42.0,68.0,64.3,44.3,0.0121,0.86,0.39,0.99,27.91,3.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0
