ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
MSB,2021-11-03,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2022-07-13,12.0,12.0,14.0,12.0,12.0,12.0,18.0,4.02,4.48,57.8,38.0,61.4,76.8,16.4,0.106,4.0,7.0,0.99,34.38,8.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MSB,2023-06-28,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-03-06,8.0,8.0,10.0,8.0,8.0,8.0,15.0,3.49,4.3,50.0,36.0,53.2,57.9,30.9,-0.0162,1.0,1.01,0.99,19.29,0.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MSB,2023-07-04,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2023-08-01,8.0,8.0,9.0,8.0,8.0,8.0,10.0,3.35,2.99,63.0,40.0,66.0,49.6,25.4,-0.0376,0.63,0.84,0.99,18.47,-1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MSB,2023-07-20,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-03-28,8.0,8.0,10.0,8.0,8.0,9.0,18.0,3.37,5.35,58.7,41.0,61.4,62.6,18.9,0.0102,3.56,-0.54,0.99,19.64,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MSB,2023-08-01,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-10-24,9.0,9.0,10.0,9.0,9.0,9.0,15.0,3.71,4.04,63.5,35.0,68.0,73.9,29.0,0.0546,1.55,-1.13,0.975,20.96,4.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MSB,2023-08-17,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-09-14,9.0,9.0,10.0,9.0,9.0,9.0,10.0,3.62,2.76,70.1,47.0,71.0,56.9,37.1,-0.0272,0.57,2.26,0.99,20.78,1.43,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MSB,2024-01-26,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-10-04,9.0,9.0,10.0,9.0,9.0,9.0,15.0,3.11,4.82,50.2,40.0,53.2,60.0,36.0,-0.0111,0.35,0.21,0.99,16.88,1.29,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MSB,2024-01-31,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2024-02-28,9.0,9.0,10.0,8.0,9.0,9.0,10.0,3.32,3.01,71.0,50.0,71.0,49.7,35.3,-0.0307,0.74,-1.47,0.99,17.53,-1.28,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MSB,2024-02-15,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2024-10-24,10.0,10.0,11.0,9.0,9.0,10.0,18.0,3.49,5.16,69.0,62.0,61.4,77.5,34.6,0.0365,5.1,8.92,0.99,32.15,6.84,0,0,0,0,0,1,1,0,0,0,0,0,0,0
MSB,2024-02-23,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2024-05-17,10.0,10.0,11.0,9.0,10.0,10.0,15.0,4.6,3.26,70.1,57.0,68.0,69.8,48.4,0.0922,2.4,2.8,0.99,30.16,3.37,0,0,0,0,0,0,0,1,0,0,0,0,0,0
