ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
NAB,2021-11-18,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-02-10,8.0,8.0,10.0,8.0,8.0,8.0,15.0,5.86,2.56,66.5,45.0,68.0,71.8,29.9,0.0427,2.7,11.79,0.99,40.04,7.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NAB,2021-12-02,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-08-11,8.0,8.0,10.0,8.0,8.0,9.0,15.0,6.0,2.5,50.0,37.0,53.2,59.2,40.2,-0.031,0.62,-8.14,0.99,44.99,2.26,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NAB,2021-12-03,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-12-31,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,71.6,52.0,71.0,53.8,40.2,-0.0469,0.53,-1.51,0.99,44.99,-0.79,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NAB,2022-01-06,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2022-09-15,8.0,8.0,10.0,8.0,8.0,8.0,18.0,6.0,3.0,67.2,56.0,61.4,64.8,20.1,0.0523,4.21,5.38,0.99,35.87,5.76,0,0,0,0,0,1,1,0,0,0,0,0,0,0
NAB,2023-01-04,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2023-09-13,5.0,5.0,6.0,4.0,5.0,5.0,18.0,6.0,3.0,59.6,44.0,61.4,60.5,21.6,0.0009,4.3,7.38,0.99,54.44,4.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NAB,2023-02-15,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2023-10-25,5.0,5.0,6.0,5.0,5.0,5.0,15.0,6.0,2.5,51.4,44.0,53.2,50.9,32.4,-0.0506,0.44,-1.64,0.99,41.94,-3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NAB,2023-03-31,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2023-08-04,5.0,5.0,6.0,5.0,5.0,5.0,15.0,3.72,4.03,69.3,41.0,72.0,53.1,20.1,-0.0008,1.42,6.09,0.976,25.65,0.51,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NAB,2023-05-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-08-09,6.0,6.0,7.0,6.0,6.0,6.0,15.0,4.41,3.4,67.7,49.0,68.0,73.3,37.1,0.0752,2.01,4.36,0.99,30.93,5.42,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NAB,2023-07-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-10-09,8.0,8.0,9.0,8.0,8.0,8.0,15.0,4.93,3.04,64.7,39.0,68.0,78.2,77.1,-0.0072,0.56,3.06,0.99,27.35,5.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NAB,2023-07-28,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-08-25,8.0,8.0,9.0,8.0,8.0,8.0,10.0,4.74,2.11,69.5,45.0,71.0,60.9,72.4,-0.0477,0.82,3.44,0.99,24.97,0.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0
