ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
NT2,2016-10-07,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2016-12-30,17.0,17.0,19.0,16.0,17.0,17.0,15.0,3.6,4.16,64.4,38.0,68.0,67.7,30.6,0.0693,0.58,-2.32,0.892,24.55,6.78,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NT2,2017-11-03,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-07-13,15.0,15.0,17.0,14.0,14.0,15.0,15.0,4.14,3.62,51.7,45.0,53.2,66.5,44.7,-0.007,2.5,-4.28,0.99,28.41,2.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NT2,2017-12-06,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-28,17.0,17.0,19.0,16.0,16.0,17.0,15.0,4.09,3.66,64.7,39.0,68.0,72.6,48.1,0.1082,1.07,4.62,0.99,29.93,7.79,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NT2,2017-12-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-01-12,16.0,16.0,17.0,15.0,15.0,16.0,10.0,4.77,2.09,69.5,45.0,71.0,50.3,35.8,-0.1173,1.41,-3.6,0.99,29.41,-0.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NT2,2018-07-10,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-03-19,16.0,16.0,19.0,15.0,15.0,16.0,18.0,4.17,4.32,58.1,39.0,61.4,60.0,13.4,0.0289,3.17,-0.49,0.975,27.74,2.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NT2,2018-10-04,BUY,2,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,"['STOCH_RSI', 'PULLBACK_BUY']",2,20,2018-11-01,16.0,16.0,17.0,15.0,16.0,16.0,10.0,3.43,2.91,76.2,54.0,71.0,53.8,25.7,-0.0199,0.41,-1.19,0.976,21.3,-0.19,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NT2,2019-01-09,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-09-18,17.0,17.0,19.0,16.0,16.0,17.0,18.0,3.61,4.98,60.2,46.0,61.4,65.8,18.6,0.0951,3.55,7.4,0.96,24.22,4.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NT2,2019-01-15,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2019-04-09,18.0,18.0,20.0,17.0,17.0,18.0,15.0,3.59,4.18,66.5,45.0,68.0,77.3,29.7,0.1945,2.55,4.89,0.983,25.72,7.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NT2,2019-02-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-03-21,18.0,18.0,20.0,18.0,18.0,18.0,10.0,3.91,2.56,66.5,35.0,71.0,55.9,44.2,-0.0652,1.42,-8.5,0.99,25.79,-0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NT2,2020-05-20,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-01-27,14.0,14.0,16.0,13.0,14.0,14.0,15.0,5.04,2.98,50.2,40.0,53.2,61.0,35.8,-0.0296,0.97,-0.04,0.99,31.96,2.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0
