ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
OCB,2023-01-17,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2023-09-26,9.0,9.0,10.0,8.0,9.0,9.0,15.0,5.1,2.94,50.0,37.0,53.2,64.2,27.9,-0.0436,0.74,2.33,0.99,30.84,4.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OCB,2023-02-03,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2023-02-10,9.0,9.0,10.0,9.0,9.0,10.0,5.0,3.0,1.67,54.9,39.0,58.2,70.3,26.2,0.0246,3.0,6.27,0.99,38.11,6.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OCB,2023-06-05,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-08-28,9.0,9.0,10.0,8.0,9.0,9.0,15.0,4.05,3.7,68.9,53.0,68.0,69.1,28.8,0.0688,2.05,6.27,0.99,30.71,4.86,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OCB,2023-07-25,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2024-04-02,9.0,9.0,11.0,9.0,9.0,9.0,18.0,2.99,6.03,58.7,41.0,61.4,67.6,19.8,0.0087,3.35,-0.99,0.99,20.86,3.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OCB,2023-09-14,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-12-07,11.0,11.0,12.0,10.0,10.0,11.0,15.0,4.48,3.35,63.5,35.0,68.0,75.7,33.8,0.1365,1.22,4.02,0.99,28.72,6.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OCB,2024-01-26,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2024-02-23,11.0,11.0,12.0,10.0,10.0,11.0,10.0,4.06,2.46,67.7,39.0,71.0,55.3,27.2,-0.0372,0.44,6.74,0.99,22.26,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OCB,2024-02-15,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2024-10-24,12.0,12.0,14.0,11.0,11.0,12.0,18.0,4.51,3.99,71.4,70.0,61.4,68.3,28.5,0.0234,3.17,2.39,0.99,34.25,5.77,0,0,0,0,0,1,1,0,0,0,0,0,0,0
OCB,2024-02-29,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2024-03-28,11.0,11.0,12.0,11.0,11.0,11.0,10.0,4.74,2.11,68.3,41.0,71.0,51.7,32.6,-0.0448,0.89,-4.04,0.99,28.49,-0.92,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OCB,2024-06-18,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2024-07-16,11.0,11.0,12.0,10.0,11.0,11.0,10.0,3.8,2.63,71.3,51.0,71.0,50.5,33.1,-0.0309,0.33,3.76,0.99,24.59,-1.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OCB,2024-10-18,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2025-06-27,11.0,11.0,12.0,10.0,11.0,11.0,15.0,4.07,3.68,50.0,37.0,53.2,56.5,26.0,-0.0123,1.17,2.4,0.99,24.79,-0.32,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OCB,2025-06-12,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2026-02-19,10.0,10.0,12.0,10.0,10.0,10.0,18.0,3.79,4.74,59.6,44.0,61.4,67.0,14.9,0.0338,4.1,5.67,0.952,29.64,4.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OCB,2025-07-24,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2025-10-16,12.0,12.0,14.0,11.0,12.0,12.0,15.0,4.5,3.34,67.7,49.0,68.0,72.8,45.4,0.005,2.15,3.36,0.99,34.49,6.64,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OCB,2025-08-04,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2026-04-13,12.0,12.0,14.0,12.0,12.0,12.0,15.0,6.0,2.5,50.0,37.0,53.2,62.0,48.6,0.0015,0.83,-5.49,0.938,50.49,4.93,0,0,0,0,0,0,0,0,1,0,0,0,0,0
