ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
PAN,2016-11-03,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2016-11-24,24.0,24.0,26.0,23.0,24.0,24.0,8.0,4.0,2.0,68.0,50.0,68.0,33.7,27.6,-0.1692,1.9,4.42,0.986,19.34,-2.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PAN,2017-09-29,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2017-10-20,22.0,22.0,24.0,21.0,22.0,23.0,8.0,4.0,2.0,66.2,44.0,68.0,45.5,11.7,-0.0863,4.0,-3.54,0.933,22.48,-1.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PAN,2017-10-16,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2017-11-06,21.0,21.0,23.0,20.0,21.0,21.0,8.0,4.0,2.0,68.6,52.0,68.0,34.0,28.4,-0.1375,2.69,1.59,0.938,23.44,-3.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PAN,2018-02-08,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-10-18,31.0,31.0,35.0,29.0,30.0,31.0,15.0,6.0,2.5,50.0,39.0,53.2,74.9,50.0,-0.1451,1.05,6.29,0.99,40.15,5.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PAN,2018-02-21,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-10-31,33.0,33.0,39.0,31.0,32.0,33.0,18.0,6.0,3.0,62.6,54.0,61.4,82.5,45.6,0.0113,3.44,5.79,0.99,44.62,9.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PAN,2018-02-23,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-05-18,36.0,36.0,41.0,34.0,35.0,36.0,15.0,6.0,2.5,64.7,39.0,68.0,88.0,46.9,0.3324,0.69,7.61,0.99,47.77,16.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PAN,2018-03-23,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-04-20,39.0,39.0,43.0,37.0,39.0,40.0,10.0,5.0,2.0,66.5,35.0,71.0,58.6,49.1,-0.5136,0.48,-5.02,0.99,38.35,-0.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PAN,2018-04-06,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-04-13,44.0,44.0,46.0,43.0,43.0,44.0,5.0,3.0,1.67,57.9,49.0,58.2,76.9,40.4,0.1071,2.65,11.4,0.99,39.74,6.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PAN,2018-09-19,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-05-29,36.0,36.0,43.0,35.0,36.0,37.0,18.0,4.42,4.07,60.2,46.0,61.4,65.8,17.8,0.0652,5.45,3.37,0.99,22.52,2.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PAN,2019-11-13,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-12-11,22.0,22.0,24.0,21.0,22.0,22.0,10.0,2.1,4.77,61.5,35.0,66.0,50.5,25.8,-0.0106,0.48,-3.54,0.865,7.82,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PAN,2020-09-08,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-05-18,21.0,21.0,24.0,20.0,20.0,21.0,18.0,4.87,3.7,58.4,40.0,61.4,72.9,23.7,0.1886,11.9,4.43,0.99,39.3,4.74,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PAN,2020-10-22,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2020-11-19,19.0,19.0,21.0,18.0,19.0,19.0,10.0,4.78,2.09,62.1,37.0,66.0,45.1,9.5,-0.0812,0.24,2.18,0.99,28.71,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PAN,2021-01-14,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-04-08,34.0,34.0,39.0,32.0,33.0,34.0,15.0,6.0,2.5,64.7,39.0,68.0,82.1,54.6,-0.0136,1.35,7.75,0.99,52.12,12.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PAN,2021-01-21,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-09-30,30.0,30.0,34.0,28.0,29.0,30.0,15.0,6.0,2.5,51.7,45.0,53.2,52.6,45.5,-0.703,1.01,-5.72,0.99,53.95,-4.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PAN,2021-10-07,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2022-06-16,30.0,30.0,35.0,28.0,29.0,30.0,18.0,6.0,3.0,60.2,46.0,61.4,65.1,11.1,0.1651,4.7,6.41,0.99,45.82,6.52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
