ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
PC1,2017-09-12,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2017-10-03,10.0,10.0,11.0,10.0,10.0,10.0,8.0,3.43,2.33,69.2,54.0,68.0,41.6,29.4,-0.0413,2.18,1.93,0.99,18.52,-1.42,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PC1,2017-12-05,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-27,11.0,11.0,12.0,10.0,11.0,11.0,15.0,5.0,3.0,68.6,52.0,68.0,68.1,39.2,0.0187,1.81,3.23,0.99,18.63,3.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PC1,2017-12-15,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-08-24,11.0,11.0,13.0,10.0,11.0,11.0,15.0,6.0,2.5,50.0,38.0,53.2,58.8,31.7,-0.0148,0.32,-2.39,0.99,33.61,2.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PC1,2018-08-07,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2018-08-28,9.0,9.0,10.0,9.0,9.0,9.0,8.0,4.0,2.0,64.1,37.0,68.0,37.0,12.5,-0.0444,2.23,-5.39,0.919,22.84,-3.55,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PC1,2018-10-03,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-10-31,9.0,9.0,10.0,9.0,9.0,9.0,10.0,5.0,2.0,72.5,55.0,71.0,49.7,37.6,0.0068,1.81,-0.24,0.99,26.49,-0.61,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PC1,2018-10-10,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-06-19,9.0,9.0,10.0,8.0,9.0,9.0,15.0,4.91,3.05,52.3,47.0,53.2,45.2,28.2,-0.0662,0.32,6.51,0.99,23.77,-2.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PC1,2019-01-31,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-10-10,8.0,8.0,9.0,8.0,8.0,8.0,18.0,4.38,4.11,58.1,39.0,61.4,61.0,9.8,0.0204,3.97,1.35,0.99,28.12,3.49,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PC1,2020-06-01,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-02-08,7.0,7.0,8.0,7.0,7.0,7.0,15.0,5.73,2.62,50.2,40.0,53.2,69.9,53.2,-0.0286,0.71,1.29,0.99,41.4,5.14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PC1,2020-06-11,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-07-09,7.0,7.0,8.0,7.0,7.0,7.0,10.0,5.0,2.0,68.0,40.0,71.0,57.3,52.9,-0.0465,1.32,1.19,0.99,37.55,-0.31,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PC1,2020-07-15,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2021-03-24,8.0,8.0,9.0,7.0,8.0,8.0,18.0,5.29,3.4,67.8,58.0,61.4,75.0,25.5,0.0655,7.09,7.86,0.99,39.45,7.63,0,0,0,0,0,1,1,0,0,0,0,0,0,0
