ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
PHR,2016-10-14,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-06-23,7.0,7.0,8.0,7.0,7.0,7.0,18.0,4.05,4.45,60.2,46.0,61.4,77.5,25.9,0.0863,4.21,7.18,0.981,29.61,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PHR,2016-10-27,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-01-19,7.0,7.0,9.0,7.0,7.0,7.0,15.0,5.38,2.79,65.0,40.0,68.0,71.4,31.5,0.0324,2.57,1.7,0.967,33.84,5.46,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PHR,2016-11-29,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-12-27,9.0,9.0,10.0,8.0,9.0,9.0,10.0,5.0,2.0,66.8,36.0,71.0,55.0,34.7,-0.0932,0.52,1.67,0.99,40.47,-1.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PHR,2016-12-05,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-08-14,9.0,9.0,10.0,8.0,8.0,9.0,15.0,6.0,2.5,51.7,45.0,53.2,52.7,28.0,-0.1506,0.48,2.75,0.99,40.61,-3.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PHR,2017-02-10,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-05-05,11.0,11.0,13.0,10.0,11.0,11.0,15.0,5.4,2.78,65.0,40.0,68.0,71.7,30.1,0.0646,1.78,3.83,0.99,38.46,7.78,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PHR,2017-02-23,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-03-23,11.0,11.0,12.0,10.0,10.0,11.0,10.0,5.0,2.0,69.5,45.0,71.0,53.0,36.8,-0.042,1.11,-5.21,0.99,37.78,-1.22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PHR,2017-06-05,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-28,13.0,13.0,15.0,12.0,13.0,13.0,15.0,6.0,2.5,64.7,39.0,68.0,79.8,46.2,0.1519,1.32,9.36,0.99,47.57,16.46,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PHR,2017-06-14,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-02-21,13.0,13.0,14.0,12.0,12.0,13.0,15.0,6.0,2.5,50.8,42.0,53.2,65.6,47.0,-0.0515,0.86,-0.86,0.99,43.84,6.79,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PHR,2017-07-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-07,13.0,13.0,14.0,12.0,12.0,13.0,10.0,5.0,2.0,69.8,46.0,71.0,52.0,34.2,-0.1007,0.82,-1.84,0.99,34.86,-1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PHR,2017-07-26,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-08-02,14.0,14.0,15.0,13.0,14.0,14.0,5.0,3.0,1.67,54.3,37.0,58.2,71.0,24.2,0.0311,2.85,10.37,0.974,35.02,6.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0
