ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
PLX,2018-02-26,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-11-05,64.89,100,100,100,100,54.11,-54.11,541.07,59.3,59.3,59.4,27.7,-0.192,1.53,8.47,0.99,11.76,CAO,65.55,2.33,0,0,0,0,0,0,0,1,0
PLX,2018-02-27,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-11-06,64.45,100,100,100,100,55.16,-55.16,551.59,59.3,59.3,58.4,26.6,0.1267,0.64,10.39,0.99,11.42,CAO,63.61,2.05,0,0,0,0,0,0,0,1,0
PLX,2018-02-28,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-11-07,65.92,100,100,100,100,51.7,-51.7,516.99,59.3,59.3,60.8,25.8,0.4112,1.37,9.28,0.99,11.18,CAO,62.3,4.58,0,0,0,0,0,0,0,1,0
PLX,2018-03-01,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-11-08,63.94,100,100,100,100,56.4,-56.4,563.97,59.3,59.3,56.2,25.2,0.4384,1.01,6.13,0.99,11.04,CAO,61.52,2.43,0,0,0,0,0,0,0,1,0
PLX,2018-08-13,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2018-08-27,51.18,100,100,100,0,95.39,100.0,0.95,70.0,70.0,72.0,27.5,0.5989,1.92,-1.61,0.99,6.73,TRUNG BÌNH,37.47,9.65,0,0,0,1,0,0,0,0,0
PLX,2018-09-19,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2018-10-03,54.41,100,100,100,100,83.79,-83.79,837.9,70.0,70.0,63.8,25.7,0.0032,0.88,1.43,0.99,4.85,TRUNG BÌNH,27.01,2.83,0,0,0,1,0,0,0,0,0
PLX,2018-09-24,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2018-10-08,56.18,100,100,100,100,78.0,-78.0,779.99,70.0,70.0,69.2,28.4,0.0112,1.19,4.35,0.99,4.97,TRUNG BÌNH,27.71,4.95,0,0,0,1,0,0,0,0,0
PLX,2019-03-04,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2019-04-01,46.49,0,0,100,0,115.1,100.0,1.15,70.6,70.6,65.3,25.5,0.1959,2.38,2.04,0.99,5.88,TRUNG BÌNH,32.77,5.38,0,0,0,0,1,0,0,0,0
PLX,2019-03-06,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-03-20,47.33,0,0,100,0,111.28,100.0,1.11,70.0,70.0,66.2,27.1,0.2904,1.86,6.04,0.99,6.15,TRUNG BÌNH,34.29,6.17,0,0,0,1,0,0,0,0,0
PLX,2019-03-07,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-03-21,46.95,0,0,100,0,112.99,100.0,1.13,70.0,70.0,63.7,28.2,0.302,1.03,12.35,0.99,5.99,TRUNG BÌNH,33.39,4.82,0,0,0,1,0,0,0,0,0
PLX,2019-03-12,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-03-26,47.72,0,0,100,0,109.56,100.0,1.1,70.0,70.0,65.6,29.0,0.2416,1.45,2.51,0.99,5.79,TRUNG BÌNH,32.27,5.14,0,0,0,1,0,0,0,0,0
PLX,2019-04-02,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2019-12-10,46.41,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,53.9,20.8,-0.1503,0.37,3.77,0.99,5.06,TRUNG BÌNH,28.18,-0.72,0,0,0,0,0,0,0,0,1
PLX,2019-04-08,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2019-05-06,48.18,0,0,100,0,107.56,100.0,1.08,70.6,70.6,63.2,20.2,0.0847,0.97,-0.75,0.99,4.75,TRUNG BÌNH,26.47,2.94,0,0,0,0,1,0,0,0,0
PLX,2019-05-15,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2019-05-22,49.56,0,0,100,0,101.78,100.0,1.02,58.2,58.2,67.2,12.3,0.1117,2.61,-0.3,0.99,4.16,TRUNG BÌNH,23.19,4.42,0,0,0,0,0,1,0,0,0
PLX,2019-05-23,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2019-06-06,51.95,100,100,100,0,92.49,100.0,0.92,75.0,70.0,74.4,25.5,0.4024,1.47,2.01,0.99,4.06,TRUNG BÌNH,22.6,6.64,0,0,0,1,0,0,0,1,0
PLX,2019-05-24,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-01-31,50.8,0,100,100,0,96.85,100.0,0.97,59.3,59.3,64.1,27.7,0.328,1.81,-7.23,0.99,4.23,TRUNG BÌNH,23.54,3.69,0,0,0,0,0,0,0,1,0
PLX,2019-05-27,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-02-03,50.8,0,100,100,0,96.85,100.0,0.97,59.3,59.3,64.1,29.8,0.2567,0.81,-1.9,0.99,4.1,TRUNG BÌNH,22.83,3.38,0,0,0,0,0,0,0,1,0
PLX,2019-05-28,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2019-06-11,51.87,100,100,100,0,92.79,100.0,0.93,75.0,70.0,68.8,32.1,0.2588,0.92,7.67,0.99,4.24,TRUNG BÌNH,23.6,5.24,0,0,0,1,0,0,0,1,0
PLX,2019-05-29,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-02-05,51.41,100,100,100,0,94.51,100.0,0.95,59.3,59.3,64.9,34.3,0.2085,0.68,3.49,0.99,4.15,TRUNG BÌNH,23.14,3.86,0,0,0,0,0,0,0,1,0
