ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
POW,2018-12-27,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2019-09-05,13.0,13.0,15.0,12.0,12.0,13.0,18.0,6.0,3.0,67.5,57.0,61.4,65.7,22.8,0.0014,4.24,-1.48,0.99,39.88,5.11,0,0,0,0,0,1,1,0,0,0,0,0,0,0
POW,2019-02-22,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-03-22,13.0,13.0,14.0,12.0,13.0,13.0,10.0,5.0,2.0,68.6,42.0,71.0,50.0,27.3,-0.0574,1.56,-6.33,0.99,34.04,-2.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0
POW,2019-02-25,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-11-04,13.0,13.0,15.0,12.0,13.0,13.0,15.0,5.15,2.91,50.0,39.0,53.2,52.9,26.1,-0.0696,0.55,-4.71,0.99,33.36,-1.41,0,0,0,0,0,0,0,0,1,0,0,0,0,0
POW,2020-05-20,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-01-27,8.0,8.0,9.0,8.0,8.0,8.0,15.0,6.0,2.5,50.5,41.0,53.2,59.3,28.6,-0.0227,0.45,2.64,0.99,42.25,1.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0
POW,2020-06-09,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2020-06-16,9.0,9.0,9.0,8.0,9.0,9.0,5.0,3.0,1.67,59.7,55.0,58.2,69.0,42.7,0.0149,2.03,4.35,0.99,35.16,5.79,0,0,0,0,0,1,0,0,0,0,0,0,0,0
POW,2020-06-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-07-13,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,71.0,50.0,71.0,53.0,41.4,-0.0312,1.31,0.29,0.99,40.05,-0.64,0,0,0,0,0,0,0,0,0,1,0,0,0,0
POW,2020-10-02,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-06-11,8.0,8.0,10.0,8.0,8.0,8.0,18.0,3.84,4.69,60.8,48.0,61.4,66.0,22.0,0.0215,3.39,2.38,0.99,26.22,3.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0
POW,2020-10-12,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-11-09,8.0,8.0,9.0,8.0,8.0,8.0,10.0,4.34,2.3,69.2,44.0,71.0,51.6,27.9,0.0036,1.07,1.56,0.965,26.16,-0.32,0,0,0,0,0,0,0,0,0,1,0,0,0,0
POW,2020-12-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-03-11,10.0,10.0,11.0,9.0,9.0,10.0,15.0,5.37,2.79,66.2,44.0,68.0,72.8,37.5,0.0581,1.58,3.06,0.99,34.4,6.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0
POW,2021-01-21,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-09-30,12.0,12.0,13.0,11.0,11.0,12.0,15.0,6.0,2.5,52.3,47.0,53.2,63.5,40.5,-0.0821,0.72,3.09,0.99,42.01,3.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0
