ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
PVT,2017-02-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-03-24,6.0,6.0,6.0,6.0,6.0,6.0,10.0,4.06,2.46,69.5,45.0,71.0,53.0,42.7,-0.0066,0.67,-3.34,0.956,25.32,-0.52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PVT,2017-05-23,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-01-30,6.0,6.0,8.0,6.0,6.0,6.0,18.0,4.14,4.35,58.1,39.0,61.4,69.7,18.0,0.0403,3.66,-0.08,0.981,30.18,6.52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PVT,2017-06-12,BUY,2,UPTREND,Uptrend Chắc Chắn,"['UPTREND', 'STOCH_RSI']",2,60,2017-09-04,6.0,6.0,7.0,6.0,6.0,7.0,15.0,4.56,3.29,72.0,50.0,68.0,60.1,33.9,-0.0037,0.59,-0.39,0.99,27.93,2.59,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PVT,2017-07-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-07,7.0,7.0,8.0,7.0,7.0,7.0,10.0,4.5,2.22,68.6,42.0,71.0,58.5,44.0,-0.037,0.39,-2.34,0.99,20.57,0.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PVT,2017-09-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-10-19,7.0,7.0,8.0,7.0,7.0,7.0,10.0,4.46,2.24,68.6,42.0,71.0,47.8,26.3,-0.0046,0.62,-2.45,0.99,23.79,-1.24,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PVT,2017-10-16,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2017-11-06,7.0,7.0,8.0,7.0,7.0,7.0,8.0,3.81,2.1,66.2,44.0,68.0,43.8,21.2,-0.0195,1.69,2.69,0.99,16.63,-1.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PVT,2017-12-04,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-26,9.0,9.0,10.0,8.0,9.0,9.0,15.0,5.37,2.79,64.7,39.0,68.0,72.6,40.5,0.0257,0.92,7.77,0.99,37.38,6.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PVT,2017-12-11,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-01-08,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,69.8,46.0,71.0,53.2,32.5,-0.046,0.45,-1.34,0.939,34.16,-1.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PVT,2017-12-20,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-08-29,9.0,9.0,11.0,8.0,9.0,9.0,18.0,6.0,3.0,59.0,42.0,61.4,71.7,23.4,0.0027,3.79,4.94,0.981,39.72,7.31,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PVT,2018-04-06,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-06-29,10.0,10.0,12.0,10.0,10.0,10.0,15.0,6.0,2.5,64.4,38.0,68.0,64.2,28.0,0.0393,1.06,-1.98,0.99,32.04,3.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PVT,2018-04-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-05-08,10.0,10.0,11.0,9.0,10.0,10.0,10.0,5.0,2.0,68.6,42.0,71.0,48.6,26.4,-0.0282,0.8,-1.35,0.99,34.63,-2.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PVT,2018-08-30,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-09-06,9.0,9.0,10.0,9.0,9.0,9.0,5.0,3.0,1.67,54.9,39.0,58.2,73.0,26.2,0.0215,2.41,2.96,0.99,26.29,4.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PVT,2018-09-19,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-05-29,9.0,9.0,11.0,9.0,9.0,9.0,15.0,4.89,3.07,50.2,40.0,53.2,63.3,38.7,-0.0244,1.14,-2.29,0.99,23.57,2.36,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PVT,2020-10-13,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-11-10,7.0,7.0,8.0,7.0,7.0,7.0,10.0,5.0,2.0,69.5,45.0,71.0,53.4,50.3,-0.0504,1.27,-4.7,0.99,34.72,-1.42,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PVT,2020-10-14,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-06-23,7.0,7.0,9.0,7.0,7.0,7.0,15.0,5.2,2.89,50.8,42.0,53.2,57.1,47.5,-0.0631,1.35,-1.71,0.99,34.48,-0.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PVT,2020-11-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-02-09,8.0,8.0,9.0,8.0,8.0,8.0,15.0,4.07,3.68,64.4,38.0,68.0,69.6,30.9,0.0518,1.39,0.1,0.99,26.47,5.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PVT,2021-01-20,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-04-14,11.0,11.0,13.0,11.0,11.0,11.0,15.0,6.0,2.5,66.2,44.0,68.0,78.7,51.9,0.1499,1.93,7.82,0.99,48.37,14.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PVT,2021-06-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-09-09,14.0,14.0,16.0,13.0,14.0,14.0,15.0,6.0,2.5,67.1,47.0,68.0,69.0,35.3,0.131,1.01,2.84,0.99,48.37,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PVT,2021-06-22,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-03-01,14.0,14.0,16.0,13.0,13.0,14.0,15.0,6.0,2.5,52.3,47.0,53.2,66.8,37.3,0.0486,0.72,3.12,0.99,44.74,7.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0
