ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
SBT,2016-08-09,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2016-09-06,17.92,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,64.2,16.5,0.0503,1.96,2.44,0.99,5.59,TRUNG BÌNH,31.13,4.33,0,0,0,0,1,0,0,0,0
SBT,2016-10-27,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2016-11-24,18.19,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,64.2,21.5,0.1022,0.79,1.91,0.99,6.24,TRUNG BÌNH,34.76,7.83,0,0,0,0,1,0,0,0,0
SBT,2017-04-27,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2017-05-25,17.24,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,70.0,23.5,0.0077,1.33,3.56,0.99,4.38,TRUNG BÌNH,24.41,3.62,0,0,0,0,1,0,0,0,0
SBT,2017-05-03,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-05-17,19.03,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,85.7,26.9,0.2223,2.84,1.15,0.99,6.63,TRUNG BÌNH,36.93,11.6,0,0,0,1,0,0,0,0,0
SBT,2017-05-22,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2017-06-19,18.16,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,61.3,17.4,0.0268,1.66,4.44,0.99,7.37,TRUNG BÌNH,41.06,4.41,0,0,0,0,1,0,0,0,0
SBT,2017-05-26,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-02-02,19.81,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,69.5,25.0,0.2458,0.72,6.39,0.99,8.22,CAO,45.81,11.14,0,0,0,0,0,0,0,1,0
SBT,2017-05-29,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-06-12,21.06,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,75.3,27.7,0.3348,1.32,6.29,0.99,9.11,CAO,50.74,16.8,0,0,0,1,0,0,0,1,0
SBT,2017-05-30,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-02-06,20.45,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,68.5,30.3,0.3302,0.86,4.43,0.99,9.06,CAO,50.47,12.75,0,0,0,0,0,0,0,1,0
SBT,2017-05-31,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-02-07,20.28,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,66.7,32.6,0.2945,1.04,-3.79,0.99,8.8,CAO,49.04,11.34,0,0,0,0,0,0,0,1,0
SBT,2017-06-01,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-06-15,20.99,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,70.2,35.1,0.2966,1.29,5.48,0.99,8.88,CAO,49.45,14.24,0,0,0,1,0,0,0,1,0
SBT,2017-06-02,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-02-09,21.19,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,71.1,37.5,0.2891,0.74,5.79,0.99,8.63,CAO,48.09,14.52,0,0,0,0,0,0,0,1,0
SBT,2017-06-07,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-06-21,23.12,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,78.6,45.0,0.3702,0.75,8.78,0.99,9.21,CAO,51.29,21.03,0,0,0,1,0,0,0,1,0
