ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
SCS,2018-12-06,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-12-13,53.0,53.0,55.0,51.0,52.0,53.0,5.0,3.0,1.67,57.0,46.0,58.2,66.0,28.8,0.1129,2.56,0.28,0.953,21.04,3.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SCS,2019-03-21,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-11-28,58.0,58.0,68.0,56.0,57.0,58.0,18.0,3.62,4.97,57.2,36.0,61.4,88.2,17.2,0.652,3.83,8.51,0.949,28.45,9.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SCS,2019-05-15,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-06-12,56.0,56.0,62.0,55.0,55.0,57.0,10.0,2.36,4.24,66.0,50.0,66.0,54.9,37.7,-0.1132,0.47,-0.29,0.911,12.12,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SCS,2019-06-07,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-07-05,57.0,57.0,62.0,55.0,55.0,57.0,10.0,3.02,3.32,67.5,55.0,66.0,51.1,37.8,-0.0755,0.01,2.74,0.958,19.01,-1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SCS,2019-06-24,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2019-10-28,57.0,57.0,66.0,55.0,56.0,58.0,15.0,2.86,5.25,74.1,57.0,72.0,53.8,45.0,0.0001,1.56,-0.51,0.898,14.3,0.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SCS,2019-10-23,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-11-20,57.0,57.0,63.0,56.0,56.0,58.0,10.0,2.55,3.92,62.4,38.0,66.0,50.1,24.2,-0.1228,0.36,-0.86,0.98,13.06,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SCS,2019-10-25,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2019-11-15,57.0,57.0,62.0,56.0,56.0,58.0,8.0,2.36,3.39,65.9,43.0,68.0,46.6,24.3,-0.1015,1.89,0.84,0.971,12.45,-0.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SCS,2020-06-15,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-02-22,45.0,45.0,51.0,42.0,44.0,45.0,15.0,5.99,2.5,50.0,35.0,53.2,58.1,38.4,-0.1773,0.82,-3.84,0.99,38.18,1.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SCS,2020-06-17,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-07-15,44.0,44.0,49.0,42.0,43.0,45.0,10.0,5.0,2.0,68.3,41.0,71.0,55.4,34.1,-0.2534,1.74,0.17,0.99,36.35,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SCS,2020-09-07,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2020-09-14,46.0,46.0,48.0,44.0,45.0,46.0,5.0,2.82,1.77,57.6,48.0,58.2,68.0,29.6,0.2535,2.4,1.46,0.99,23.0,4.29,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SCS,2020-09-25,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-10-23,46.0,46.0,51.0,45.0,46.0,47.0,10.0,2.54,3.93,68.6,42.0,71.0,57.4,47.7,-0.1274,0.83,-1.59,0.99,19.08,0.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SCS,2020-10-08,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2020-11-05,46.0,46.0,51.0,45.0,45.0,47.0,10.0,2.23,4.47,66.0,50.0,66.0,54.2,36.7,-0.1698,0.65,0.4,0.99,16.6,-0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SCS,2020-12-16,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-03-10,48.0,48.0,56.0,47.0,47.0,49.0,15.0,2.0,7.5,67.1,47.0,68.0,66.7,36.1,0.0218,0.74,6.16,0.99,12.92,1.52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SCS,2020-12-17,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-08-26,50.0,50.0,59.0,49.0,49.0,51.0,18.0,2.18,8.25,62.6,54.0,61.4,78.6,38.0,0.1362,3.41,3.67,0.99,19.81,4.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SCS,2021-01-05,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-09-14,50.0,50.0,58.0,49.0,49.0,51.0,15.0,2.58,5.82,50.8,42.0,53.2,62.4,37.4,-0.0363,0.36,0.73,0.99,19.03,1.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SCS,2021-06-07,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-07-05,51.0,51.0,56.0,49.0,50.0,51.0,10.0,3.9,2.56,68.9,43.0,71.0,50.2,30.5,-0.0916,1.14,-3.39,0.99,29.13,0.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SCS,2021-06-18,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-09-10,54.0,54.0,62.0,52.0,53.0,54.0,15.0,3.18,4.72,65.6,42.0,68.0,64.1,36.1,0.1933,1.23,0.39,0.95,25.54,3.23,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SCS,2021-07-07,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-08-04,54.0,54.0,60.0,52.0,53.0,55.0,10.0,3.72,2.68,71.6,52.0,71.0,55.3,35.7,-0.1518,1.9,2.86,0.99,21.25,0.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0
