ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
SJS,2016-07-20,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-08-17,7.0,7.0,8.0,7.0,7.0,7.0,10.0,5.0,2.0,67.1,37.0,71.0,49.0,25.2,-0.006,0.46,-5.18,0.99,44.29,-2.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2016-10-03,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2016-12-26,8.0,8.0,10.0,8.0,8.0,9.0,15.0,5.32,2.82,64.4,38.0,68.0,64.0,29.5,0.0314,1.12,-2.54,0.99,31.25,3.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SJS,2017-04-13,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2017-12-21,9.0,9.0,11.0,9.0,9.0,9.0,18.0,4.73,3.81,69.0,62.0,61.4,73.6,29.2,0.0273,3.01,7.95,0.979,35.44,6.73,0,0,0,0,0,1,1,0,0,0,0,0,0,0
SJS,2017-04-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-05-22,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,68.3,41.0,71.0,48.9,34.1,-0.0095,1.14,-3.27,0.99,38.34,-2.58,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2017-04-26,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-01-03,9.0,9.0,10.0,8.0,8.0,9.0,15.0,6.0,2.5,52.6,48.0,53.2,53.7,31.8,-0.0377,0.57,-2.43,0.99,37.09,-0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SJS,2017-05-31,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-06-28,9.0,9.0,10.0,9.0,9.0,9.0,10.0,5.0,2.0,67.1,37.0,71.0,49.9,25.5,-0.0422,0.31,-3.11,0.99,36.55,-2.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2017-10-10,BUY,2,UPTREND,Uptrend Chắc Chắn,"['VOLUME_EXPLOSION', 'UPTREND']",2,60,2018-01-02,10.0,10.0,12.0,10.0,10.0,10.0,15.0,4.68,3.21,76.8,66.0,68.0,83.4,39.3,0.1173,3.76,3.1,0.981,36.08,10.03,0,0,0,0,0,0,1,1,0,0,0,0,0,0
SJS,2017-10-24,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-07-03,9.0,9.0,11.0,9.0,9.0,9.0,15.0,6.0,2.5,52.6,48.0,53.2,47.8,41.6,-0.1114,0.3,-2.33,0.99,41.74,-4.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SJS,2017-12-11,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-01-08,10.0,10.0,11.0,9.0,10.0,10.0,10.0,5.0,2.0,68.3,41.0,71.0,47.7,32.5,-0.0152,1.0,-3.35,0.99,35.88,-3.86,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2019-02-21,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-10-31,8.0,8.0,9.0,8.0,8.0,8.0,15.0,6.0,2.5,50.2,40.0,53.2,59.5,37.4,-0.0584,1.21,-1.69,0.99,43.03,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SJS,2019-03-13,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-04-10,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,67.4,38.0,71.0,55.3,32.1,-0.0348,1.34,-0.91,0.99,35.22,0.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2019-03-14,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2019-03-21,9.0,9.0,9.0,8.0,8.0,9.0,5.0,3.0,1.67,59.1,53.0,58.2,66.9,33.1,0.0067,2.76,3.52,0.99,43.39,6.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SJS,2019-04-02,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-04-30,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,71.6,52.0,71.0,52.8,36.6,-0.038,0.5,0.4,0.977,33.94,-0.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2019-07-03,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-07-31,7.0,7.0,8.0,7.0,7.0,7.0,10.0,5.0,2.0,68.6,42.0,71.0,48.2,25.5,-0.0272,0.66,0.76,0.99,36.74,-2.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2019-12-09,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2020-08-17,6.0,6.0,7.0,6.0,6.0,6.0,15.0,6.0,2.5,53.8,52.0,53.2,52.1,29.3,-0.0399,1.75,6.96,0.99,39.95,-0.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SJS,2020-02-21,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-10-30,8.0,8.0,9.0,7.0,8.0,8.0,18.0,6.0,3.0,58.4,40.0,61.4,76.6,23.3,0.1139,3.84,7.38,0.974,41.67,14.71,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SJS,2020-05-26,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-08-18,8.0,8.0,9.0,7.0,8.0,8.0,15.0,5.89,2.55,70.4,58.0,68.0,69.1,28.0,0.018,4.72,6.19,0.99,45.04,7.19,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SJS,2020-05-27,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2020-06-03,8.0,8.0,9.0,8.0,8.0,8.0,5.0,3.0,1.67,58.2,50.0,58.2,71.8,30.1,0.0463,4.77,4.74,0.99,44.45,6.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SJS,2020-11-11,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-07-21,10.0,10.0,12.0,9.0,10.0,10.0,18.0,6.0,3.0,60.2,46.0,61.4,63.7,16.2,0.04,3.5,6.4,0.99,40.85,5.51,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SJS,2021-01-19,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-02-16,11.0,11.0,12.0,10.0,11.0,11.0,10.0,5.0,2.0,67.1,37.0,71.0,49.8,27.2,-0.0257,1.43,-8.49,0.99,38.45,-0.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2021-02-25,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-05-20,16.0,16.0,18.0,15.0,15.0,16.0,15.0,6.0,2.5,64.7,39.0,68.0,71.6,56.7,0.1731,0.75,3.97,0.99,54.48,14.93,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SJS,2021-03-04,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-04-01,15.0,15.0,16.0,14.0,14.0,15.0,10.0,5.0,2.0,66.5,35.0,71.0,55.1,52.9,-0.1558,0.5,-4.12,0.99,50.66,1.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2021-03-05,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-11-12,15.0,15.0,17.0,14.0,15.0,15.0,15.0,6.0,2.5,50.0,37.0,53.2,59.0,50.6,-0.1837,0.45,-3.11,0.99,50.43,3.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SJS,2021-04-29,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-07-22,18.0,18.0,21.0,17.0,18.0,19.0,15.0,6.0,2.5,65.6,42.0,68.0,60.4,35.7,-0.0347,0.22,0.72,0.99,51.0,3.71,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SJS,2021-05-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-06-07,18.0,18.0,19.0,17.0,17.0,18.0,10.0,5.0,2.0,69.8,46.0,71.0,53.5,30.2,-0.1997,0.47,1.22,0.99,48.01,-2.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2021-06-04,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-07-02,20.0,20.0,22.0,19.0,20.0,20.0,10.0,5.0,2.0,68.6,42.0,71.0,53.8,27.7,-0.1888,0.63,-1.38,0.99,43.85,-0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2021-09-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2022-06-01,26.0,26.0,30.0,24.0,25.0,26.0,18.0,5.06,3.56,60.2,46.0,61.4,63.3,17.0,0.036,4.03,2.56,0.954,35.93,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SJS,2021-11-18,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-02-10,29.0,29.0,34.0,28.0,29.0,30.0,15.0,5.91,2.54,67.7,49.0,68.0,77.1,37.0,0.2969,2.05,3.92,0.99,41.18,12.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SJS,2021-12-20,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2022-01-17,30.0,30.0,33.0,29.0,30.0,30.0,10.0,5.0,2.0,68.6,42.0,71.0,58.1,51.9,-0.1714,0.94,0.05,0.99,35.29,0.63,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2021-12-21,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-08-30,30.0,30.0,35.0,29.0,30.0,31.0,15.0,6.0,2.5,50.8,42.0,53.2,59.7,52.2,-0.1845,0.41,1.32,0.99,34.31,0.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SJS,2022-01-11,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2022-01-18,32.0,32.0,34.0,31.0,32.0,33.0,5.0,3.0,1.67,60.3,57.0,58.2,67.6,40.9,0.0314,2.92,4.64,0.99,33.19,4.89,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SJS,2022-01-17,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-04-11,35.0,35.0,41.0,33.0,35.0,36.0,15.0,6.0,2.5,64.7,39.0,68.0,79.7,43.7,0.3558,1.27,11.58,0.99,39.68,9.81,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SJS,2022-01-24,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2022-02-21,32.0,32.0,35.0,30.0,31.0,32.0,10.0,5.0,2.0,69.5,45.0,71.0,48.7,35.7,-0.0969,0.76,-3.23,0.99,49.78,-3.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SJS,2023-12-05,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2024-02-27,28.0,28.0,32.0,27.0,28.0,28.0,15.0,6.0,2.5,65.0,40.0,68.0,74.1,34.8,0.3111,1.63,8.24,0.99,43.51,11.38,0,0,0,0,0,0,0,1,0,0,0,0,0,0
