ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
SSI,2016-11-09,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2016-11-30,6.0,6.0,6.0,6.0,6.0,6.0,8.0,3.71,2.16,66.2,44.0,68.0,39.7,14.7,-0.0218,1.8,3.86,0.987,18.4,-2.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SSI,2017-01-20,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-02-17,6.0,6.0,7.0,6.0,6.0,6.0,10.0,2.71,3.7,68.6,42.0,71.0,52.6,26.9,-0.0001,0.89,-1.93,0.99,16.79,-0.06,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SSI,2017-02-13,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-02-20,6.0,6.0,7.0,6.0,6.0,6.0,5.0,2.54,1.97,58.5,51.0,58.2,68.6,30.8,0.0163,2.02,2.84,0.99,17.58,3.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SSI,2017-02-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-11-01,6.0,6.0,8.0,6.0,6.0,6.0,18.0,3.04,5.93,61.4,50.0,61.4,69.3,39.6,0.0084,3.08,-4.0,0.99,17.98,3.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SSI,2017-03-03,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2017-03-31,6.0,6.0,7.0,6.0,6.0,6.0,10.0,3.5,2.86,65.4,48.0,66.0,48.4,39.8,-0.0233,0.53,-1.21,0.99,17.91,-1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSI,2017-03-16,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-03-23,7.0,7.0,7.0,6.0,6.0,7.0,5.0,3.0,1.67,57.9,49.0,58.2,71.3,38.8,0.0153,3.81,-1.24,0.99,24.31,4.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SSI,2017-03-23,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-06-15,7.0,7.0,8.0,6.0,7.0,7.0,15.0,3.87,3.88,65.6,42.0,68.0,68.9,43.3,0.0397,0.91,1.95,0.99,23.77,2.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SSI,2017-04-10,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-12-18,7.0,7.0,8.0,7.0,7.0,7.0,15.0,4.5,3.33,52.3,47.0,53.2,65.1,47.0,-0.0071,0.86,3.62,0.989,26.2,3.45,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SSI,2017-04-12,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-05-10,7.0,7.0,7.0,6.0,7.0,7.0,10.0,4.65,2.15,69.5,45.0,71.0,51.6,44.1,-0.0281,0.75,-3.54,0.99,27.38,-0.98,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SSI,2017-05-23,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-15,8.0,8.0,9.0,7.0,7.0,8.0,15.0,5.32,2.82,68.6,52.0,68.0,67.3,35.9,0.0798,1.96,6.72,0.99,33.15,5.42,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SSI,2017-12-11,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-01-08,8.0,8.0,9.0,8.0,8.0,8.0,10.0,5.0,2.0,69.5,45.0,71.0,49.5,43.2,-0.0095,0.87,-7.34,0.99,36.54,-2.47,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SSI,2017-12-12,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-08-21,8.0,8.0,9.0,8.0,8.0,8.0,15.0,6.0,2.5,52.3,47.0,53.2,54.3,40.2,-0.0289,1.02,-3.73,0.99,36.77,-0.16,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SSI,2018-01-02,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-03-27,9.0,9.0,10.0,9.0,9.0,9.0,15.0,4.49,3.34,65.9,43.0,68.0,68.6,29.2,0.0204,0.94,2.82,0.99,29.63,4.97,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SSI,2018-02-05,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-03-05,10.0,10.0,11.0,10.0,10.0,10.0,10.0,5.0,2.0,70.4,48.0,71.0,52.5,34.9,-0.0339,1.17,-2.68,0.99,51.82,0.32,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SSI,2018-03-20,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-06-12,13.0,13.0,14.0,12.0,12.0,13.0,15.0,6.0,2.5,64.4,38.0,68.0,69.7,28.3,0.0613,0.74,-2.95,0.99,48.95,8.36,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SSI,2019-03-12,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-11-19,9.0,9.0,10.0,9.0,9.0,9.0,15.0,3.04,4.94,50.0,36.0,53.2,64.9,29.5,0.0062,0.5,1.81,0.99,17.86,2.73,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SSI,2019-10-09,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-11-06,7.0,7.0,8.0,7.0,7.0,7.0,10.0,4.39,2.28,67.1,37.0,71.0,50.2,26.3,0.006,0.66,-5.88,0.99,26.75,-0.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SSI,2020-06-16,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-02-23,6.0,6.0,7.0,5.0,6.0,6.0,15.0,6.0,2.5,52.0,46.0,53.2,53.9,32.9,-0.0441,0.83,-0.67,0.99,53.97,0.17,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SSI,2020-09-22,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-12-15,7.0,7.0,8.0,6.0,7.0,7.0,15.0,4.08,3.68,64.7,39.0,68.0,76.7,35.1,0.0324,1.11,5.14,0.99,24.49,5.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0
