ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
SZC,2020-05-18,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-01-25,11.0,11.0,13.0,11.0,11.0,11.0,15.0,6.0,2.5,50.0,35.0,53.2,61.0,39.2,-0.0242,0.89,-3.35,0.99,53.23,3.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SZC,2020-05-25,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-02-01,12.0,12.0,14.0,11.0,12.0,12.0,18.0,6.0,3.0,64.4,60.0,61.4,69.3,36.9,-0.011,3.79,4.48,0.99,53.28,7.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SZC,2020-08-11,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-11-03,16.0,16.0,18.0,15.0,16.0,16.0,15.0,6.0,2.5,68.6,52.0,68.0,67.4,41.8,0.1524,1.76,5.96,0.99,54.41,9.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SZC,2020-08-31,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-09-28,16.0,16.0,18.0,15.0,16.0,16.0,10.0,5.0,2.0,72.5,55.0,71.0,54.0,44.4,-0.1316,1.91,0.91,0.98,44.6,-1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SZC,2021-01-08,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-04-02,23.0,23.0,27.0,22.0,23.0,24.0,15.0,6.0,2.5,63.5,35.0,68.0,77.6,28.8,0.2755,0.63,8.2,0.99,47.15,14.54,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SZC,2021-01-21,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-09-30,25.0,25.0,28.0,23.0,24.0,25.0,15.0,6.0,2.5,50.8,42.0,53.2,67.2,36.6,-0.035,1.02,-2.24,0.99,52.59,10.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SZC,2021-01-27,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-10-06,26.0,26.0,31.0,25.0,26.0,27.0,18.0,6.0,3.0,61.4,50.0,61.4,72.5,33.5,-0.0215,3.0,11.81,0.99,54.35,11.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SZC,2021-08-19,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-11-11,30.0,30.0,34.0,28.0,29.0,30.0,15.0,6.0,2.5,64.1,37.0,68.0,69.2,43.1,0.1887,0.67,-3.03,0.99,46.9,9.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SZC,2021-08-23,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-09-20,27.0,27.0,29.0,25.0,26.0,27.0,10.0,5.0,2.0,69.5,45.0,71.0,50.0,40.3,-0.1261,1.02,-6.91,0.99,51.66,-2.54,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SZC,2021-08-25,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-05-04,27.0,27.0,31.0,25.0,27.0,27.0,15.0,6.0,2.5,51.7,45.0,53.2,51.7,36.3,-0.3122,0.37,-4.19,0.99,49.38,-1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SZC,2021-09-27,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-10-25,29.0,29.0,32.0,28.0,28.0,29.0,10.0,5.0,2.0,69.8,46.0,71.0,48.9,33.7,-0.0851,1.45,-1.76,0.99,48.22,-3.02,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SZC,2021-10-07,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2021-10-14,34.0,34.0,35.0,33.0,33.0,34.0,5.0,3.0,1.67,56.7,45.0,58.2,71.7,29.5,0.1835,2.32,6.31,0.99,48.31,9.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SZC,2021-10-18,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-01-10,37.0,37.0,42.0,34.0,36.0,37.0,15.0,6.0,2.5,64.7,39.0,68.0,75.1,39.3,0.4448,0.9,3.45,0.99,45.44,13.81,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SZC,2021-11-04,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-12-02,37.0,37.0,40.0,35.0,36.0,37.0,10.0,5.0,2.0,66.5,35.0,71.0,55.2,49.8,-0.2577,0.94,-3.12,0.972,46.43,0.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SZC,2023-04-28,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-01-05,21.0,21.0,24.0,20.0,21.0,21.0,15.0,6.0,2.5,50.0,37.0,53.2,59.0,25.3,-0.0197,0.85,5.88,0.952,43.43,2.73,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SZC,2023-05-23,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-06-20,22.0,22.0,24.0,20.0,21.0,22.0,10.0,5.0,2.0,68.6,42.0,71.0,54.2,27.0,-0.1218,0.69,-2.74,0.99,35.99,0.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SZC,2023-06-15,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-07-13,23.0,23.0,25.0,21.0,22.0,23.0,10.0,5.0,2.0,68.3,41.0,71.0,50.2,30.9,-0.1091,1.44,-3.17,0.99,29.58,-1.58,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SZC,2023-07-18,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-10-10,26.0,26.0,29.0,24.0,25.0,26.0,15.0,4.7,3.19,63.5,35.0,68.0,70.3,30.4,0.0698,1.16,4.3,0.99,24.87,5.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SZC,2024-02-01,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2024-04-25,40.0,40.0,45.0,37.0,39.0,40.0,15.0,5.2,2.89,66.5,45.0,68.0,74.6,28.5,0.4166,2.19,8.93,0.99,43.6,10.79,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SZC,2024-03-01,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-11-08,41.0,41.0,47.0,39.0,40.0,42.0,15.0,5.81,2.58,52.3,47.0,53.2,66.3,36.4,0.0002,1.29,4.52,0.975,36.08,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SZC,2024-03-22,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2024-04-19,41.0,41.0,45.0,39.0,40.0,41.0,10.0,5.0,2.0,68.6,42.0,71.0,54.1,27.1,-0.267,0.83,-0.57,0.968,34.8,-0.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SZC,2024-12-25,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2025-03-19,42.0,42.0,49.0,40.0,41.0,43.0,15.0,4.47,3.36,65.9,43.0,68.0,63.0,29.5,-0.0132,1.04,2.09,0.99,23.4,2.36,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SZC,2024-12-27,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2025-01-24,41.0,41.0,46.0,40.0,41.0,42.0,10.0,4.43,2.26,71.3,51.0,71.0,53.4,29.2,-0.1042,1.08,3.95,0.99,22.7,-0.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
