ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
TCH,2017-12-04,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-08-13,9.0,9.0,10.0,8.0,9.0,9.0,15.0,4.77,3.15,50.0,36.0,53.2,64.0,32.0,-0.0104,0.69,0.57,0.99,34.19,3.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TCH,2017-12-25,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-01-22,10.0,10.0,11.0,9.0,10.0,10.0,10.0,5.0,2.0,71.0,50.0,71.0,50.8,41.2,-0.1138,0.7,-2.88,0.99,55.68,-5.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCH,2018-05-02,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-07-25,13.0,13.0,15.0,13.0,13.0,14.0,15.0,6.0,2.5,63.5,35.0,68.0,84.5,28.7,0.1906,1.25,12.31,0.99,50.47,20.58,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TCH,2018-05-21,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-06-18,13.0,13.0,14.0,12.0,13.0,13.0,10.0,5.0,2.0,66.5,35.0,71.0,55.4,39.7,-0.0957,0.43,-4.1,0.99,45.26,-0.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCH,2018-08-17,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-04-26,14.0,14.0,16.0,13.0,14.0,14.0,15.0,6.0,2.5,52.3,47.0,53.2,67.6,48.1,-0.0156,1.22,2.14,0.99,40.73,7.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TCH,2018-08-30,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-09-27,14.0,14.0,15.0,13.0,13.0,14.0,10.0,5.0,2.0,66.8,36.0,71.0,56.9,34.8,-0.1094,0.96,-2.36,0.99,35.74,-0.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCH,2019-02-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-11-01,12.0,12.0,14.0,11.0,12.0,12.0,18.0,4.95,3.64,62.0,52.0,61.4,91.3,42.6,0.2687,6.89,7.76,0.99,40.35,17.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TCH,2019-03-11,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-11-18,11.0,11.0,13.0,11.0,11.0,11.0,15.0,5.96,2.52,50.0,36.0,53.2,58.4,33.8,-0.1245,0.19,1.84,0.99,43.82,-3.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TCH,2019-07-22,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-08-19,11.0,11.0,12.0,10.0,10.0,11.0,10.0,4.04,2.47,68.3,41.0,71.0,51.4,28.5,0.0021,0.49,-4.11,0.99,23.38,0.24,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCH,2019-08-09,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2019-11-01,12.0,12.0,13.0,11.0,11.0,12.0,15.0,4.55,3.29,67.4,48.0,68.0,65.5,32.5,0.0147,1.96,5.65,0.99,27.66,4.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TCH,2019-08-22,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-09-19,11.0,11.0,12.0,11.0,11.0,11.0,10.0,4.45,2.25,69.2,44.0,71.0,54.0,26.8,-0.0223,1.29,-1.85,0.988,23.47,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCH,2019-09-11,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2020-05-20,12.0,12.0,14.0,12.0,12.0,12.0,18.0,4.32,4.17,66.3,53.0,61.4,68.6,20.4,0.0483,3.03,1.65,0.99,27.06,5.55,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TCH,2019-10-04,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2019-11-01,12.0,12.0,13.0,11.0,12.0,12.0,10.0,4.7,2.13,71.9,53.0,71.0,53.7,33.9,-0.0281,0.8,2.48,0.976,26.0,0.39,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCH,2019-10-21,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-11-18,12.0,12.0,13.0,11.0,12.0,12.0,10.0,4.43,2.26,64.8,46.0,66.0,47.9,31.2,-0.0258,0.47,0.62,0.918,24.08,-1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TCH,2019-12-03,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-02-25,15.0,15.0,17.0,14.0,14.0,15.0,15.0,5.35,2.8,66.2,44.0,68.0,71.6,41.8,0.1409,1.67,2.88,0.99,39.58,9.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TCH,2019-12-18,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2020-08-26,15.0,15.0,17.0,14.0,15.0,15.0,15.0,5.26,2.85,50.0,38.0,53.2,64.1,32.8,-0.0117,0.71,0.71,0.99,39.47,5.14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TCH,2019-12-19,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-01-16,14.0,14.0,16.0,14.0,14.0,14.0,10.0,5.0,2.0,68.3,41.0,71.0,52.8,30.6,-0.0696,0.56,-4.25,0.99,42.87,-0.66,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCH,2020-02-06,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2020-04-30,22.0,22.0,25.0,21.0,21.0,22.0,15.0,2.88,5.21,64.7,39.0,68.0,91.1,65.9,0.0587,0.78,5.43,0.99,34.52,12.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0
