ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
TPB,2019-04-01,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2019-04-08,6.41,0,0,0,0,-100.0,100.0,-1.0,58.2,58.2,74.2,13.6,0.0261,1.7,-0.28,0.99,5.22,TRUNG BÌNH,29.08,6.54,0,0,0,0,0,1,0,0,0
TPB,2019-04-02,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2019-04-09,6.31,0,0,0,0,-100.0,100.0,-1.0,58.2,58.2,66.2,15.8,0.0348,1.55,4.7,0.99,5.18,TRUNG BÌNH,28.84,4.36,0,0,0,0,0,1,0,0,0
TPB,2019-04-03,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2019-04-10,6.41,0,0,0,0,-100.0,100.0,-1.0,58.2,58.2,69.7,17.9,0.0445,2.29,3.86,0.984,5.14,TRUNG BÌNH,28.63,5.3,0,0,0,0,0,1,0,0,0
TPB,2019-04-09,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2019-12-17,6.41,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,66.2,26.0,0.0413,2.41,5.25,0.866,4.62,TRUNG BÌNH,25.72,3.25,0,0,0,0,0,0,0,1,0
TPB,2019-04-10,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2019-12-18,6.28,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,56.8,25.1,0.0251,0.99,0.37,0.864,4.69,TRUNG BÌNH,26.15,0.98,0,0,0,0,0,0,0,1,0
TPB,2019-05-17,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2019-05-31,6.75,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,75.8,25.0,0.0637,0.86,4.68,0.99,4.42,TRUNG BÌNH,24.61,7.35,0,0,0,1,0,0,0,1,0
TPB,2019-05-28,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2019-06-11,6.74,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,69.8,35.5,0.0223,0.85,-0.14,0.99,3.71,THẤP,20.69,5.13,0,0,0,1,0,0,0,1,0
TPB,2019-05-29,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-02-05,6.82,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,73.0,36.5,0.0204,0.73,-0.89,0.99,3.69,THẤP,20.58,5.87,0,0,0,0,0,0,0,1,0
TPB,2019-05-30,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-02-06,6.82,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,73.0,37.4,0.0169,0.91,3.71,0.99,3.58,THẤP,19.95,5.33,0,0,0,0,0,0,0,1,0
TPB,2019-05-31,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-02-07,6.78,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,68.7,37.6,0.01,0.9,-1.17,0.99,3.5,THẤP,19.48,4.13,0,0,0,0,0,0,0,1,0
TPB,2019-06-03,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-02-10,6.75,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,65.7,36.7,0.0019,0.6,-2.0,0.99,3.4,THẤP,18.96,3.45,0,0,0,0,0,0,0,1,0
TPB,2019-06-04,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-02-11,6.75,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,65.7,35.8,-0.0046,0.49,-2.14,0.99,3.3,THẤP,18.39,2.83,0,0,0,0,0,0,0,1,0
TPB,2019-06-05,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-02-12,6.78,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,67.4,35.1,-0.0079,0.55,-0.28,0.99,3.21,THẤP,17.91,3.01,0,0,0,0,0,0,0,1,0
