ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
VCB,2017-01-09,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-01-23,16.02,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,75.0,25.1,0.1491,2.47,2.19,0.965,4.5,TRUNG BÌNH,25.08,6.41,0,0,0,1,0,0,0,0,0
VCB,2017-01-17,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2017-02-14,16.12,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,68.1,29.2,0.0597,1.99,3.68,0.95,4.95,TRUNG BÌNH,27.6,4.27,0,0,0,0,1,0,0,0,0
VCB,2017-01-25,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-02-08,16.27,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,67.2,30.5,0.0236,1.08,4.28,0.964,4.54,TRUNG BÌNH,25.28,3.75,0,0,0,1,0,0,0,0,0
VCB,2017-02-02,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-02-16,16.33,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,68.1,31.5,0.0351,1.06,2.15,0.952,4.41,TRUNG BÌNH,24.55,3.78,0,0,0,1,0,0,0,0,0
VCB,2017-02-07,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-02-21,16.25,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,63.5,32.1,0.0066,1.13,-3.98,0.954,4.32,TRUNG BÌNH,24.08,2.37,0,0,0,1,0,0,0,0,0
VCB,2017-02-08,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-02-22,16.45,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,66.5,32.8,0.0182,1.3,-2.15,0.945,4.28,TRUNG BÌNH,23.84,3.26,0,0,0,1,0,0,0,1,0
VCB,2017-02-09,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-10-19,16.43,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,66.0,33.6,0.0204,0.86,-3.85,0.956,4.15,TRUNG BÌNH,23.11,2.89,0,0,0,0,0,0,0,1,0
VCB,2017-02-15,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-10-25,16.14,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,57.2,30.8,-0.0418,1.08,1.68,0.99,3.84,THẤP,21.39,0.57,0,0,0,0,0,0,0,1,0
VCB,2017-06-06,BUY,2,SAR_MACD,SAR × MACD Histogram,"['SAR_MACD', 'VOLUME_EXPLOSION']",2,20,2017-07-04,16.0,0,0,0,0,-100.0,100.0,-1.0,75.6,70.6,68.6,18.6,0.0501,3.0,3.04,0.99,4.15,TRUNG BÌNH,23.11,4.43,0,0,0,0,1,0,1,0,0
VCB,2017-06-14,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-06-28,16.23,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,68.5,25.9,0.0853,1.59,-0.21,0.99,3.84,THẤP,21.41,4.36,0,0,0,1,0,0,0,0,0
VCB,2017-06-16,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-06-30,16.35,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,70.2,29.4,0.0936,1.39,-1.27,0.99,3.65,THẤP,20.32,4.21,0,0,0,1,0,0,0,0,0
VCB,2017-06-26,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-03-05,15.94,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,55.3,27.2,-0.0384,0.63,-8.01,0.99,3.56,THẤP,19.83,0.47,0,0,0,0,0,0,0,1,0
VCB,2017-10-02,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2017-10-30,15.92,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,61.8,24.8,0.0289,0.78,-1.07,0.99,2.07,THẤP,11.55,1.37,0,0,0,0,1,0,0,0,0
VCB,2017-10-03,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-06-12,15.9,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,60.7,26.0,0.0321,0.93,-0.25,0.99,2.01,THẤP,11.21,1.17,0,0,0,0,0,0,0,1,0
VCB,2017-10-04,BUY,1,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'BOLLINGER', 'UPTREND']",3,10,2017-10-18,16.41,0,0,0,0,-100.0,100.0,-1.0,80.0,70.0,73.2,28.3,0.0647,2.78,5.04,0.99,2.97,THẤP,16.54,3.92,0,0,0,1,0,1,0,1,0
VCB,2017-10-06,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-06-15,16.51,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,73.9,33.6,0.0916,1.12,0.28,0.99,2.86,THẤP,15.93,3.59,0,0,0,0,0,0,0,1,0
VCB,2017-10-10,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-06-19,16.77,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,77.9,38.6,0.1116,1.19,2.92,0.99,2.8,THẤP,15.57,4.54,0,0,0,0,0,0,0,1,0
VCB,2017-10-11,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-06-20,16.64,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,71.7,40.4,0.1012,1.25,1.6,0.99,2.76,THẤP,15.4,3.44,0,0,0,0,0,0,0,1,0
VCB,2017-10-12,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-06-21,16.51,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,65.9,42.1,0.0794,0.79,-3.75,0.99,2.73,THẤP,15.23,2.43,0,0,0,0,0,0,0,1,0
VCB,2017-10-13,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-06-22,16.64,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,68.6,43.5,0.0682,0.82,-5.26,0.99,2.71,THẤP,15.08,2.97,0,0,0,0,0,0,0,1,0
VCB,2017-10-16,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-06-25,16.51,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,63.2,44.9,0.0473,0.73,-0.53,0.99,2.68,THẤP,14.94,1.84,0,0,0,0,0,0,0,1,0
VCB,2017-10-17,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-10-31,17.34,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,76.1,47.0,0.0827,1.43,-0.31,0.99,4.37,TRUNG BÌNH,24.33,6.31,0,0,0,1,0,0,0,1,0
VCB,2017-10-19,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-06-28,17.13,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,69.3,50.4,0.0824,0.67,0.96,0.99,4.15,TRUNG BÌNH,23.11,4.1,0,0,0,0,0,0,0,1,0
VCB,2017-10-23,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-07-02,16.87,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,59.9,51.5,0.0446,1.5,1.21,0.99,4.22,TRUNG BÌNH,23.5,1.77,0,0,0,0,0,0,0,1,0
