ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
VCI,2018-09-21,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2019-05-31,11.0,0,0,0,0,-100.0,100.0,-1.0,66.4,61.4,67.1,20.6,0.0345,3.16,4.73,0.925,5.6,TRUNG BÌNH,31.21,4.34,0,0,0,0,0,1,1,0,0
VCI,2018-10-04,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2018-10-18,11.29,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,69.8,28.6,0.0308,0.84,4.17,0.943,4.59,TRUNG BÌNH,25.58,4.69,0,0,0,1,0,0,0,0,0
VCI,2019-08-16,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2019-08-23,6.37,0,0,0,0,-100.0,100.0,-1.0,58.2,58.2,76.7,18.8,0.0258,2.93,-2.43,0.99,4.68,TRUNG BÌNH,26.07,6.74,0,0,0,0,0,1,0,0,0
VCI,2019-11-07,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-07-16,6.03,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,44.5,9.1,-0.0147,3.65,1.85,0.99,4.0,TRUNG BÌNH,22.31,-1.49,0,0,0,0,0,0,1,0,0
VCI,2020-05-19,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2020-06-02,4.34,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,75.0,28.3,0.1175,1.04,8.89,0.99,10.96,CAO,61.08,19.67,0,0,0,1,0,0,0,0,0
VCI,2020-05-26,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2020-06-09,4.25,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,68.0,30.6,0.0398,1.34,2.12,0.99,9.88,CAO,55.03,10.01,0,0,0,1,0,0,0,0,0
VCI,2020-06-02,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2020-06-16,4.21,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,62.5,30.6,-0.0111,1.39,-2.74,0.99,9.3,CAO,51.83,5.04,0,0,0,1,0,0,0,0,0
VCI,2020-06-04,BUY,2,SAR_MACD,SAR × MACD Histogram,"['DMI_WAVE', 'SAR_MACD']",2,20,2020-07-02,4.46,0,0,0,0,-100.0,100.0,-1.0,75.6,70.6,68.5,31.4,0.0001,2.68,1.41,0.99,9.84,CAO,54.82,9.26,0,0,0,1,1,0,0,0,0
VCI,2020-06-08,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2020-06-22,4.53,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,70.1,33.3,0.0138,0.98,2.88,0.99,9.31,CAO,51.89,8.46,0,0,0,1,0,0,0,0,0
VCI,2020-06-22,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2021-03-01,4.05,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,50.5,22.9,-0.0604,0.49,3.99,0.99,9.95,CAO,55.42,-3.73,0,0,0,0,0,0,0,0,1
VCI,2020-06-23,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2021-03-02,4.22,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,55.9,22.3,-0.0402,1.42,4.04,0.99,10.08,CAO,56.15,0.38,0,0,0,0,0,0,0,0,1
VCI,2020-08-03,BUY,3,STOCH_RSI,Giá Tăng + Stochastic RSI,['STOCH_RSI'],1,180,2021-04-12,3.94,0,0,0,0,-100.0,100.0,-1.0,53.2,53.2,45.0,21.4,-0.0544,0.4,5.84,0.974,9.12,CAO,50.81,-5.51,0,0,0,0,0,0,0,0,1
VCI,2020-08-11,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2020-09-08,4.14,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,53.7,16.3,0.0063,1.08,-3.8,0.99,7.97,TRUNG BÌNH,44.4,1.29,0,0,0,0,1,0,0,0,0
VCI,2020-08-26,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2021-05-05,4.59,0,0,0,0,-100.0,100.0,-1.0,66.4,61.4,68.2,17.8,0.0506,3.31,4.3,0.99,7.59,TRUNG BÌNH,42.28,8.5,0,0,0,0,0,1,1,0,0
VCI,2020-08-27,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-05-06,4.91,0,0,0,0,-100.0,100.0,-1.0,61.4,61.4,75.3,20.4,0.0752,3.66,12.74,0.99,8.82,CAO,49.14,13.04,0,0,0,0,0,0,1,0,0
VCI,2020-09-03,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2020-09-17,5.03,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,73.1,29.0,0.0787,1.39,2.36,0.988,8.44,CAO,47.02,11.55,0,0,0,1,0,0,0,0,0
VCI,2020-09-04,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2020-09-18,5.24,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,76.7,31.6,0.0896,2.33,3.56,0.99,8.69,CAO,48.39,14.03,0,0,0,1,0,0,0,0,0
VCI,2020-09-09,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2020-09-23,5.28,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,71.0,38.7,0.0696,1.44,1.7,0.99,8.97,CAO,49.96,11.28,0,0,0,1,0,0,0,0,0
VCI,2020-09-10,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2020-09-24,5.24,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,69.3,41.0,0.0613,0.7,3.97,0.99,8.71,CAO,48.52,9.78,0,0,0,1,0,0,0,0,0
VCI,2020-09-11,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-05-21,5.24,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,69.3,43.0,0.0507,0.57,0.8,0.99,8.44,CAO,47.05,9.25,0,0,0,0,0,0,0,1,0
VCI,2020-09-16,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-05-26,5.4,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,72.6,48.7,0.0301,0.55,0.71,0.99,7.81,TRUNG BÌNH,43.52,10.59,0,0,0,0,0,0,0,1,0
VCI,2020-09-17,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-05-27,5.35,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,69.9,49.8,0.0209,0.66,2.64,0.99,7.6,TRUNG BÌNH,42.35,8.83,0,0,0,0,0,0,0,1,0
VCI,2020-09-18,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-10-02,5.52,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,73.5,51.2,0.0224,0.7,0.95,0.99,7.7,TRUNG BÌNH,42.88,11.38,0,0,0,1,0,0,0,1,0
VCI,2020-09-21,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-10-05,5.57,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,74.5,52.6,0.0229,0.57,5.29,0.99,7.49,TRUNG BÌNH,41.72,11.03,0,0,0,1,0,0,0,1,0
VCI,2020-09-22,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2021-06-01,5.54,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,72.8,53.6,0.0175,0.42,2.59,0.99,7.27,TRUNG BÌNH,40.51,9.76,0,0,0,0,0,0,0,1,0
