ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
VHC,2016-09-27,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2016-12-20,19.0,19.0,22.0,18.0,19.0,19.0,15.0,6.0,2.5,64.4,38.0,68.0,70.0,31.1,0.1571,1.03,0.46,0.933,44.02,10.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VHC,2016-10-05,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-06-14,18.0,18.0,21.0,17.0,18.0,18.0,15.0,6.0,2.5,50.8,42.0,53.2,53.9,27.1,-0.0688,0.26,0.29,0.99,41.79,0.59,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VHC,2017-02-08,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2017-03-01,16.0,16.0,18.0,16.0,16.0,17.0,8.0,4.0,2.0,65.9,43.0,68.0,31.4,23.8,-0.2012,2.79,-3.58,0.99,31.94,-7.36,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VHC,2017-05-26,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-02-02,18.0,18.0,21.0,17.0,18.0,18.0,18.0,4.62,3.9,59.0,42.0,61.4,63.2,9.9,0.1092,4.58,4.92,0.872,34.09,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VHC,2017-07-10,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-08-07,18.0,18.0,20.0,18.0,18.0,19.0,10.0,4.26,2.35,70.4,48.0,71.0,52.8,28.5,-0.0496,0.09,-1.75,0.986,24.7,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VHC,2017-07-13,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-03-22,18.0,18.0,21.0,18.0,18.0,19.0,15.0,4.05,3.71,50.8,42.0,53.2,53.9,26.6,-0.0857,0.27,-0.07,0.99,23.67,-0.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VHC,2018-01-25,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-10-04,19.0,19.0,22.0,18.0,18.0,19.0,18.0,4.62,3.9,57.2,36.0,61.4,65.9,20.1,-0.0245,3.94,-3.7,0.99,30.84,3.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VHC,2018-04-09,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-07-02,23.0,23.0,26.0,21.0,22.0,23.0,15.0,6.0,2.5,65.6,42.0,68.0,67.2,37.9,0.242,1.46,1.99,0.92,48.85,7.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VHC,2018-04-12,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2018-12-20,24.0,24.0,27.0,22.0,23.0,24.0,15.0,6.0,2.5,50.8,42.0,53.2,67.1,36.0,0.0161,1.01,0.57,0.933,49.74,7.44,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VHC,2018-08-02,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-10-25,23.0,23.0,27.0,22.0,23.0,24.0,15.0,6.0,2.5,64.4,38.0,68.0,67.8,29.2,0.2171,0.79,1.66,0.99,47.27,8.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0
