ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
VIX,2017-02-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-11-01,1.0,1.0,1.0,1.0,1.0,1.0,18.0,6.0,3.0,59.6,44.0,61.4,60.5,15.1,0.0018,3.08,2.6,0.947,46.57,3.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VIX,2017-11-21,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2018-07-31,1.0,1.0,2.0,1.0,1.0,1.0,18.0,5.51,3.27,65.0,62.0,61.4,69.9,37.8,0.0102,3.84,4.19,0.979,34.39,6.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VIX,2017-11-23,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-02-15,2.0,2.0,2.0,1.0,1.0,2.0,15.0,5.93,2.53,69.2,54.0,68.0,83.9,43.1,0.027,3.71,9.48,0.99,52.6,16.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VIX,2018-08-13,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2019-04-22,1.0,1.0,1.0,1.0,1.0,1.0,15.0,6.0,2.5,50.5,41.0,53.2,54.0,29.2,-0.0028,0.42,-3.41,0.99,43.44,0.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VIX,2018-08-22,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2019-05-01,1.0,1.0,2.0,1.0,1.0,1.0,18.0,6.0,3.0,62.0,52.0,61.4,59.3,25.0,-0.0022,3.34,2.49,0.99,39.48,2.52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VIX,2018-08-23,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2018-08-30,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.67,56.4,44.0,58.2,70.8,26.7,0.0077,5.83,3.51,0.99,52.28,9.27,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VIX,2018-10-26,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-11-23,2.0,2.0,2.0,2.0,2.0,2.0,10.0,5.0,2.0,68.3,41.0,71.0,50.9,28.3,-0.0072,0.29,-6.04,0.99,53.79,-0.93,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VIX,2020-06-04,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-02-11,1.0,1.0,1.0,1.0,1.0,1.0,18.0,6.0,3.0,59.6,44.0,61.4,58.4,15.7,0.0068,4.34,6.11,0.9,45.72,4.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VIX,2020-09-29,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-10-27,3.0,3.0,3.0,3.0,3.0,3.0,10.0,5.0,2.0,69.5,45.0,71.0,58.0,47.9,-0.0525,0.61,3.11,0.99,54.71,-3.48,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VIX,2020-09-30,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-06-09,3.0,3.0,3.0,3.0,3.0,3.0,15.0,6.0,2.5,50.2,40.0,53.2,59.1,46.3,-0.0525,0.39,-0.43,0.99,53.11,-3.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0
