ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
VND,2016-07-25,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2016-08-22,2.0,2.0,2.0,2.0,2.0,2.0,10.0,5.0,2.0,70.4,48.0,71.0,52.2,29.9,-0.0061,0.35,-0.52,0.99,41.84,-0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VND,2016-09-09,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2017-05-19,2.0,2.0,2.0,2.0,2.0,2.0,18.0,4.66,3.86,58.7,41.0,61.4,61.9,9.5,0.0046,3.2,-1.9,0.99,28.46,2.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VND,2017-03-17,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-03-24,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,1.67,56.7,45.0,58.2,64.6,22.1,0.0098,2.93,4.38,0.99,28.13,4.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VND,2017-03-27,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-06-19,2.0,2.0,2.0,2.0,2.0,2.0,15.0,4.61,3.25,64.7,39.0,68.0,73.6,35.8,0.0219,1.17,4.66,0.99,31.19,9.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VND,2017-04-18,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2017-12-26,2.0,2.0,2.0,2.0,2.0,2.0,15.0,5.77,2.6,50.8,42.0,53.2,59.3,39.0,-0.0065,0.37,0.6,0.971,41.37,2.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VND,2017-04-20,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2017-05-18,2.0,2.0,2.0,2.0,2.0,2.0,10.0,5.0,2.0,72.5,55.0,71.0,54.6,37.3,-0.0112,1.13,2.17,0.99,39.22,-0.22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VND,2017-05-29,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2017-08-21,3.0,3.0,3.0,3.0,3.0,3.0,15.0,6.0,2.5,64.7,39.0,68.0,73.2,63.3,0.0071,1.39,2.09,0.99,47.11,6.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VND,2018-01-02,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-03-27,4.0,4.0,4.0,4.0,4.0,4.0,15.0,5.22,2.87,63.5,35.0,68.0,78.8,28.1,0.0486,0.63,4.5,0.99,40.15,12.87,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VND,2018-03-19,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2018-06-11,5.0,5.0,6.0,5.0,5.0,5.0,15.0,6.0,2.5,63.5,35.0,68.0,71.5,31.3,0.0346,0.82,6.88,0.99,54.45,11.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VND,2018-03-23,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2018-04-20,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,2.0,69.8,46.0,71.0,53.1,29.3,-0.0389,1.07,0.25,0.99,51.6,-0.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VND,2020-01-22,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2020-09-30,3.0,3.0,3.0,3.0,3.0,3.0,18.0,3.5,5.14,67.2,56.0,61.4,76.4,27.9,0.0091,3.01,4.8,0.99,19.07,4.88,0,0,0,0,0,1,1,0,0,0,0,0,0,0
VND,2020-06-16,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-02-23,3.0,3.0,3.0,2.0,2.0,3.0,15.0,6.0,2.5,51.4,44.0,53.2,53.9,31.4,-0.0195,0.96,-0.09,0.99,51.26,0.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VND,2020-09-18,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2021-05-28,3.0,3.0,3.0,3.0,3.0,3.0,18.0,3.77,4.77,57.2,36.0,61.4,73.2,21.7,0.0149,3.0,2.21,0.953,22.31,5.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VND,2020-10-22,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-01-14,3.0,3.0,4.0,3.0,3.0,3.0,15.0,5.13,2.92,64.7,39.0,68.0,77.0,61.7,-0.0035,0.6,2.04,0.99,30.87,8.36,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VND,2020-10-27,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2020-11-24,3.0,3.0,3.0,3.0,3.0,3.0,10.0,5.0,2.0,68.0,40.0,71.0,57.9,57.4,-0.0253,1.68,-3.4,0.99,30.3,0.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VND,2021-01-12,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-09-21,6.0,6.0,7.0,6.0,6.0,6.0,15.0,6.0,2.5,50.8,42.0,53.2,69.5,54.9,-0.0573,1.13,1.71,0.99,53.08,5.16,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VND,2021-04-16,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-07-09,8.0,8.0,9.0,7.0,7.0,8.0,15.0,6.0,2.5,63.5,35.0,68.0,71.5,30.1,0.0996,1.24,2.59,0.99,54.37,12.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VND,2021-11-12,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-02-04,23.0,23.0,26.0,21.0,22.0,23.0,15.0,6.0,2.5,64.7,39.0,68.0,80.8,37.2,0.4046,0.67,10.06,0.99,44.76,17.16,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VND,2021-12-03,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2021-12-31,24.0,24.0,26.0,23.0,23.0,24.0,10.0,5.0,2.0,69.5,45.0,71.0,53.6,42.5,-0.2827,1.02,-4.77,0.99,51.54,-1.86,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VND,2021-12-06,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-08-15,24.0,24.0,28.0,23.0,24.0,24.0,15.0,6.0,2.5,50.2,40.0,53.2,55.3,40.0,-0.3634,1.09,0.5,0.99,50.19,-1.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VND,2023-05-19,BUY,2,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,"['BOLLINGER', 'VOLUME_EXPLOSION']",2,180,2024-01-26,13.0,13.0,16.0,13.0,13.0,13.0,18.0,5.24,3.43,65.1,49.0,61.4,61.8,21.5,0.0692,4.1,1.12,0.99,32.91,4.76,0,0,0,0,0,1,1,0,0,0,0,0,0,0
VND,2023-06-16,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2023-09-08,16.0,16.0,18.0,15.0,16.0,16.0,15.0,6.0,2.5,67.1,47.0,68.0,68.6,42.3,0.0435,1.82,0.52,0.99,45.03,7.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VND,2023-06-23,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2024-03-01,16.0,16.0,19.0,15.0,16.0,16.0,15.0,5.81,2.58,50.8,42.0,53.2,68.3,42.7,0.0048,0.82,-2.61,0.99,39.63,5.52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VND,2023-06-29,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-07-27,15.0,15.0,17.0,15.0,15.0,16.0,10.0,5.0,2.0,69.5,45.0,71.0,53.5,37.4,-0.1065,0.84,-4.77,0.99,38.96,-1.47,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VND,2023-08-18,BUY,3,PULLBACK_BUY,Mua Vào Nhịp Điều Chỉnh,['PULLBACK_BUY'],1,20,2023-09-15,16.0,16.0,18.0,16.0,16.0,17.0,10.0,5.0,2.0,70.1,47.0,71.0,50.3,25.1,0.007,1.7,1.0,0.99,47.75,-1.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0
