ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
VNM,2017-03-30,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-04-13,67.36,100,100,100,100,48.46,-48.46,484.56,70.0,70.0,80.5,27.1,0.4719,1.36,4.43,0.99,2.91,THẤP,16.22,5.69,0,0,0,1,0,0,0,0,0
VNM,2017-03-31,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2017-04-14,67.03,100,100,100,100,49.19,-49.19,491.87,70.0,70.0,76.6,28.5,0.4266,1.52,5.08,0.985,2.84,THẤP,15.84,4.59,0,0,0,1,0,0,0,0,0
VNM,2017-04-05,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-13,67.07,100,100,100,100,49.1,-49.1,490.98,59.3,59.3,73.0,31.3,0.2514,0.83,1.33,0.99,2.65,THẤP,14.78,3.46,0,0,0,0,0,0,0,1,0
VNM,2017-04-07,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-15,66.7,100,100,100,100,49.93,-49.93,499.25,59.3,59.3,68.6,30.8,0.1492,0.93,-3.25,0.99,2.6,THẤP,14.49,2.64,0,0,0,0,0,0,0,1,0
VNM,2017-04-10,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-18,66.7,100,100,100,100,49.93,-49.93,499.25,59.3,59.3,68.6,30.3,0.0649,0.61,-3.48,0.99,2.52,THẤP,14.05,2.42,0,0,0,0,0,0,0,1,0
VNM,2017-04-11,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-19,67.12,100,100,100,100,48.99,-48.99,489.87,59.3,59.3,70.9,30.2,0.0229,0.47,-3.2,0.99,2.48,THẤP,13.84,2.88,0,0,0,0,0,0,0,1,0
VNM,2017-04-12,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-20,67.36,100,100,100,100,48.46,-48.46,484.56,59.3,59.3,72.2,30.4,-0.0019,0.75,-2.57,0.99,2.42,THẤP,13.49,2.96,0,0,0,0,0,0,0,1,0
VNM,2017-04-13,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-21,66.93,100,100,100,100,49.41,-49.41,494.1,59.3,59.3,66.6,30.3,-0.0575,0.34,2.67,0.99,2.39,THẤP,13.31,1.92,0,0,0,0,0,0,0,1,0
VNM,2017-04-14,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-22,66.28,100,100,100,100,50.88,-50.88,508.75,59.3,59.3,59.3,28.7,-0.1432,0.66,1.29,0.99,2.41,THẤP,13.45,0.67,0,0,0,0,0,0,0,1,0
VNM,2017-04-17,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-25,66.42,100,100,100,100,50.56,-50.56,505.57,59.3,59.3,60.3,27.2,-0.1927,0.94,-1.82,0.99,2.34,THẤP,13.06,0.58,0,0,0,0,0,0,0,1,0
VNM,2017-04-18,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-26,67.54,100,100,100,100,48.06,-48.06,480.6,59.3,59.3,67.3,26.7,-0.1539,1.9,3.2,0.99,2.56,THẤP,14.26,1.91,0,0,0,0,0,0,0,1,0
VNM,2017-04-19,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-27,68.01,100,100,100,100,47.04,-47.04,470.37,59.3,59.3,69.8,26.8,-0.1028,0.96,-3.32,0.99,2.53,THẤP,14.09,2.3,0,0,0,0,0,0,0,1,0
VNM,2017-04-20,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-28,67.78,100,100,100,100,47.54,-47.54,475.36,59.3,59.3,67.1,26.9,-0.0913,0.45,1.3,0.99,2.46,THẤP,13.72,1.62,0,0,0,0,0,0,0,1,0
VNM,2017-04-21,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2017-12-29,67.68,100,100,100,100,47.75,-47.75,477.54,59.3,59.3,66.0,26.6,-0.0966,0.51,-6.01,0.99,2.39,THẤP,13.32,1.13,0,0,0,0,0,0,0,1,0
VNM,2017-04-24,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-01,67.36,100,100,100,100,48.46,-48.46,484.56,59.3,59.3,62.2,25.9,-0.126,0.66,-7.47,0.99,2.34,THẤP,13.04,0.56,0,0,0,0,0,0,0,1,0
VNM,2017-04-28,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2017-05-05,69.23,100,100,100,100,44.45,-44.45,444.46,58.2,58.2,71.9,24.5,-0.0232,1.74,3.66,0.99,2.53,THẤP,14.11,2.74,0,0,0,0,0,1,0,0,0
VNM,2017-05-04,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-05-18,70.07,100,100,100,100,42.71,-42.71,427.14,75.0,70.0,75.5,26.6,0.0987,1.25,-4.72,0.99,2.49,THẤP,13.85,3.56,0,0,0,1,0,0,0,1,0
VNM,2017-05-05,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-12,69.18,100,100,100,100,44.55,-44.55,445.5,59.3,59.3,65.7,27.8,0.0695,0.68,2.73,0.99,2.57,THẤP,14.31,2.12,0,0,0,0,0,0,0,1,0
VNM,2017-05-08,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-15,68.85,100,100,100,100,45.24,-45.24,452.43,59.3,59.3,62.5,27.8,0.0167,1.05,-2.74,0.99,2.51,THẤP,14.0,1.49,0,0,0,0,0,0,0,1,0
VNM,2017-05-09,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-16,67.95,100,100,100,100,47.17,-47.17,471.67,59.3,59.3,54.6,26.7,-0.0846,1.21,-5.75,0.99,2.6,THẤP,14.49,0.03,0,0,0,0,0,0,0,1,0
VNM,2017-05-10,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2018-01-17,68.14,100,100,100,100,46.76,-46.76,467.57,59.3,59.3,55.9,25.6,-0.1411,0.83,-3.69,0.99,2.53,THẤP,14.09,0.23,0,0,0,0,0,0,0,1,0
VNM,2017-05-22,BUY,1,SAR_MACD,SAR × MACD Histogram,"['DMI_WAVE', 'SAR_MACD', 'UPTREND']",3,20,2017-06-19,70.92,100,100,100,100,41.0,-41.0,410.04,80.6,70.6,68.7,25.8,0.0623,1.57,0.6,0.99,2.96,THẤP,16.48,3.18,0,0,0,1,1,0,0,1,0
VNM,2017-05-23,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2017-06-06,71.49,100,100,100,100,39.88,-39.88,398.8,75.0,70.0,71.0,27.7,0.161,0.93,1.87,0.99,2.92,THẤP,16.28,3.78,0,0,0,1,0,0,0,1,0
