ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,current_price,entry_lo,entry_hi,target,stop_loss,reward_pct,risk_pct,rr_ratio,dir_prob,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,t25_risk_val,t25_risk_label,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI
VPB,2019-03-13,BUY,2,SAR_MACD,SAR × MACD Histogram,"['SAR_MACD', 'BOLLINGER']",2,20,2019-04-10,7.17,0,0,0,0,-100.0,100.0,-1.0,75.6,70.6,64.6,12.2,0.004,1.78,-0.78,0.99,4.69,TRUNG BÌNH,26.14,3.2,0,0,0,0,1,1,0,0,0
VPB,2019-03-18,BUY,3,BOLLINGER,Mở Band Bollinger,['BOLLINGER'],1,5,2019-03-25,7.33,0,0,0,0,-100.0,100.0,-1.0,58.2,58.2,67.4,15.2,0.0227,1.73,5.77,0.99,4.93,TRUNG BÌNH,27.48,4.96,0,0,0,0,0,1,0,0,0
VPB,2019-09-13,BUY,3,SAR_MACD,SAR × MACD Histogram,['SAR_MACD'],1,20,2019-10-11,6.74,0,0,0,0,-100.0,100.0,-1.0,70.6,70.6,67.6,18.1,0.0047,1.69,5.41,0.99,3.22,THẤP,17.92,3.17,0,0,0,0,1,0,0,0,0
VPB,2019-09-26,BUY,3,DMI_WAVE,Lướt Sóng DMI,['DMI_WAVE'],1,10,2019-10-10,7.05,0,0,0,0,-100.0,100.0,-1.0,70.0,70.0,76.2,27.5,0.0211,1.33,3.77,0.99,3.11,THẤP,17.34,3.88,0,0,0,1,0,0,0,0,0
VPB,2019-09-27,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2019-10-11,7.22,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,81.1,29.3,0.0298,1.95,0.7,0.99,3.45,THẤP,19.25,5.74,0,0,0,1,0,0,0,1,0
VPB,2019-09-30,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2019-10-14,7.18,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,77.1,31.3,0.0298,1.22,-3.41,0.99,3.37,THẤP,18.78,4.71,0,0,0,1,0,0,0,1,0
VPB,2019-10-01,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-09,7.28,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,79.8,33.2,0.0333,1.18,-0.4,0.99,3.41,THẤP,19.0,5.68,0,0,0,0,0,0,0,1,0
VPB,2019-10-02,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2019-10-16,7.36,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,81.6,35.3,0.0373,2.78,1.51,0.99,3.39,THẤP,18.91,5.7,0,0,0,1,0,0,0,1,0
VPB,2019-10-03,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-11,7.36,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,81.6,37.0,0.0364,2.17,2.38,0.99,3.29,THẤP,18.33,4.97,0,0,0,0,0,0,0,1,0
VPB,2019-10-04,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-12,7.27,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,72.9,38.6,0.0265,1.88,-2.9,0.99,3.3,THẤP,18.4,3.07,0,0,0,0,0,0,0,1,0
VPB,2019-10-07,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-15,7.09,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,59.3,37.8,0.0057,2.2,4.16,0.99,3.64,THẤP,20.27,0.2,0,0,0,0,0,0,0,1,0
VPB,2019-10-08,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-16,7.17,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,62.6,37.0,-0.0042,1.87,0.81,0.99,3.61,THẤP,20.14,1.15,0,0,0,0,0,0,0,1,0
VPB,2019-10-09,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-17,7.2,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,63.8,36.5,-0.0099,1.63,4.81,0.99,3.52,THẤP,19.59,1.37,0,0,0,0,0,0,0,1,0
VPB,2019-10-10,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-18,7.23,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,65.0,36.3,-0.0128,1.24,0.68,0.99,3.42,THẤP,19.06,1.51,0,0,0,0,0,0,0,1,0
VPB,2019-10-11,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-19,7.2,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,62.8,36.2,-0.0175,1.28,0.6,0.99,3.33,THẤP,18.55,0.78,0,0,0,0,0,0,0,1,0
VPB,2019-10-14,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-22,7.27,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,65.7,35.9,-0.0166,1.54,3.49,0.99,3.3,THẤP,18.38,1.54,0,0,0,0,0,0,0,1,0
VPB,2019-10-15,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-23,7.35,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,68.8,36.1,-0.0117,0.85,5.29,0.99,3.29,THẤP,18.33,2.49,0,0,0,0,0,0,0,1,0
VPB,2019-10-17,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-25,7.33,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,67.1,36.4,-0.0104,0.8,3.8,0.99,3.1,THẤP,17.26,1.69,0,0,0,0,0,0,0,1,0
VPB,2019-10-18,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-06-26,7.3,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,64.4,35.1,-0.0139,1.24,4.97,0.99,3.02,THẤP,16.81,1.12,0,0,0,0,0,0,0,1,0
VPB,2020-01-17,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-01-31,7.14,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,67.8,31.0,0.0729,1.15,-0.57,0.979,5.09,TRUNG BÌNH,28.39,7.34,0,0,0,1,0,0,0,1,0
VPB,2020-01-20,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-02-03,7.33,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,72.0,32.7,0.0814,1.18,3.81,0.99,5.28,TRUNG BÌNH,29.4,9.4,0,0,0,1,0,0,0,1,0
VPB,2020-01-21,BUY,2,DMI_WAVE,Lướt Sóng DMI,"['DMI_WAVE', 'UPTREND']",2,10,2020-02-04,7.67,0,0,0,0,-100.0,100.0,-1.0,75.0,70.0,77.6,35.1,0.1033,2.4,5.28,0.99,6.05,TRUNG BÌNH,33.73,12.31,0,0,0,1,0,0,0,1,0
VPB,2020-01-22,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-09-30,7.69,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,77.9,37.4,0.1119,1.2,2.76,0.99,5.87,TRUNG BÌNH,32.72,11.44,0,0,0,0,0,0,0,1,0
VPB,2020-01-30,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-10-08,7.4,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,65.1,37.5,0.0916,1.77,-2.57,0.982,6.27,TRUNG BÌNH,34.95,6.25,0,0,0,0,0,0,0,1,0
VPB,2020-01-31,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-10-09,7.31,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,61.7,37.7,0.0667,1.8,5.29,0.975,6.14,TRUNG BÌNH,34.21,4.21,0,0,0,0,0,0,0,1,0
VPB,2020-02-03,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-10-12,7.36,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,62.9,35.5,0.0492,1.66,1.85,0.962,5.97,TRUNG BÌNH,33.28,4.26,0,0,0,0,0,0,0,1,0
VPB,2020-02-04,BUY,3,UPTREND,Uptrend,['UPTREND'],1,180,2020-10-13,7.64,0,0,0,0,-100.0,100.0,-1.0,59.3,59.3,68.6,33.5,0.0517,1.6,-6.04,0.961,6.37,TRUNG BÌNH,35.49,7.3,0,0,0,0,0,0,0,1,0
