ticker,date,signal,tier,primary_strategy,strategy_name,strategies_active,n_signals,hold_days,exit_date,base_price,current_price,target,stop_loss,entry_lo,entry_hi,reward_pct,risk_pct,rr_ratio,dir_prob,quality_score,win_rate_hist,rsi_14,adx_14,macd_histogram,rel_volume,net_foreign_flow_5d,hurst_60d,garch_sigma,vwap_deviation,strat_PRICE_DOWN_15_MA20,strat_RSI_OVERSOLD,strat_PRICE_DOWN_15_20D,strat_DMI_WAVE,strat_SAR_MACD,strat_BOLLINGER,strat_VOLUME_EXPLOSION,strat_UPTREND,strat_STOCH_RSI,strat_PULLBACK_BUY,strat_GOLDEN_CROSS,strat_SUPPORT_BOUNCE,strat_LIQUIDITY_SWEEP,strat_FIB_BOUNCE
VPI,2018-11-22,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2019-03-28,22.0,22.0,26.0,22.0,22.0,23.0,15.0,2.0,7.5,69.3,41.0,72.0,51.8,20.8,-0.0157,1.57,-0.35,0.99,9.22,-0.14,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VPI,2018-12-12,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-01-09,22.0,22.0,24.0,22.0,22.0,22.0,10.0,2.53,3.96,64.5,45.0,66.0,42.3,25.8,-0.0463,0.43,2.54,0.951,8.04,-1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VPI,2019-04-04,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-05-02,21.0,21.0,23.0,21.0,21.0,21.0,10.0,2.23,4.48,63.3,41.0,66.0,37.1,23.1,-0.0749,0.55,2.07,0.832,13.59,-2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VPI,2019-05-08,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2019-09-11,22.0,22.0,25.0,21.0,21.0,22.0,15.0,2.51,5.98,71.7,49.0,72.0,53.1,28.8,0.0146,1.24,2.11,0.91,12.02,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VPI,2019-10-02,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2019-10-30,22.0,22.0,25.0,22.0,22.0,23.0,10.0,2.76,3.62,62.7,39.0,66.0,46.8,15.7,-0.0019,0.81,2.35,0.99,11.07,-0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VPI,2019-12-19,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2020-01-16,22.0,22.0,24.0,22.0,22.0,22.0,10.0,2.84,3.52,63.6,42.0,66.0,47.0,32.9,-0.0062,0.61,-1.06,0.932,13.16,-0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VPI,2019-12-31,BUY,3,VOLUME_EXPLOSION,Bùng Nổ Khối Lượng,['VOLUME_EXPLOSION'],1,180,2020-09-08,23.0,23.0,27.0,22.0,22.0,23.0,18.0,2.48,7.25,61.7,51.0,61.4,63.4,32.6,0.0447,3.06,-0.95,0.858,12.22,2.13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VPI,2020-01-31,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2020-02-28,23.0,23.0,25.0,22.0,22.0,23.0,10.0,2.0,5.0,62.7,39.0,66.0,47.7,18.8,-0.0299,0.86,2.42,0.901,8.3,-0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VPI,2020-02-10,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2020-06-15,23.0,23.0,26.0,22.0,22.0,23.0,15.0,2.0,7.5,72.0,50.0,72.0,54.4,24.2,-0.018,1.66,2.05,0.88,7.52,0.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VPI,2020-02-20,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2020-03-19,23.0,23.0,25.0,22.0,22.0,23.0,10.0,2.0,5.0,63.0,40.0,66.0,51.6,22.6,-0.003,1.27,-1.33,0.989,6.32,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VPI,2020-11-10,BUY,3,GOLDEN_CROSS,Golden Cross MA,['GOLDEN_CROSS'],1,90,2021-03-16,22.0,22.0,26.0,22.0,22.0,23.0,15.0,2.0,7.5,68.7,39.0,72.0,54.7,29.9,-0.0027,1.2,-5.43,0.99,6.79,0.21,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VPI,2020-11-16,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2020-12-14,22.0,22.0,25.0,22.0,22.0,23.0,10.0,2.0,5.0,62.7,39.0,66.0,53.1,29.2,0.0016,1.05,-4.53,0.943,6.17,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VPI,2020-11-23,BUY,3,SUPPORT_BOUNCE,Bật Khỏi Vùng Hỗ Trợ,['SUPPORT_BOUNCE'],1,15,2020-12-14,22.0,22.0,24.0,22.0,22.0,23.0,8.0,2.0,4.0,67.1,47.0,68.0,48.8,31.3,-0.0137,1.69,-2.39,0.912,5.71,-0.19,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VPI,2020-12-10,BUY,3,FIB_BOUNCE,Bounce Fibonacci 61.8%,['FIB_BOUNCE'],1,20,2021-01-07,22.0,22.0,25.0,22.0,22.0,23.0,10.0,2.0,5.0,65.1,47.0,66.0,47.9,28.4,0.0002,0.32,5.24,0.853,4.74,-0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VPI,2021-02-03,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2021-10-13,24.0,24.0,28.0,23.0,24.0,24.0,15.0,6.0,2.5,51.4,44.0,53.2,53.5,27.3,-0.1649,0.52,-0.01,0.982,44.59,0.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VPI,2021-08-13,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2021-11-05,28.0,28.0,33.0,27.0,28.0,29.0,15.0,3.61,4.16,64.7,39.0,68.0,81.6,36.8,0.2198,0.77,2.88,0.931,27.51,10.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VPI,2021-08-24,BUY,3,STOCH_RSI,Giá Tăng + StochRSI,['STOCH_RSI'],1,180,2022-05-03,28.0,28.0,32.0,27.0,28.0,29.0,15.0,3.88,3.86,51.4,44.0,53.2,70.1,36.9,-0.0502,1.88,5.73,0.99,23.88,3.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VPI,2021-11-15,BUY,3,UPTREND,Uptrend Chắc Chắn,['UPTREND'],1,60,2022-02-07,38.0,38.0,43.0,35.0,37.0,38.0,15.0,6.0,2.5,63.5,35.0,68.0,83.9,32.5,0.7044,1.45,8.69,0.972,42.42,16.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
